,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.31,1.67,0.97,1.11,0.96,0.74,1.77,2.26,1.62,1.84,1.94,1.24,2.13,1.44,1.25,2.11
e_1,1.22,2.34,0.84,1.26,0.91,0.83,2.08,3.73,1.66,1.92,2.07,2.03,2.59,1.8,1.48,2.33
d_1,1.29,1.07,2.46,0.72,0.85,0.87,2.01,1.5,1.91,3.81,2.55,2.11,2.95,2.34,2.03,2.31
c_1,1.1,1.02,0.98,2.52,1.71,0.84,1.92,2.12,1.69,1.3,1.67,1.77,2.62,1.59,1.61,2.16
b_1,1.0,1.05,1.18,1.02,2.68,1.73,2.03,2.02,1.8,1.73,1.21,2.09,2.3,1.47,1.65,2.23
a_1,1.19,1.07,1.13,1.09,0.96,3.12,1.96,2.16,1.83,2.2,2.14,2.43,2.9,1.56,2.28,2.64
h_1,1.47,1.16,1.29,1.0,1.02,0.82,3.47,2.26,2.53,2.26,2.18,1.89,2.16,1.87,2.06,2.96
d_0,1.22,1.06,0.78,1.9,1.32,0.77,2.01,3.36,1.63,1.54,1.9,2.2,2.67,1.77,1.96,2.47
g_1,1.06,1.07,1.7,1.05,1.08,0.82,1.87,2.0,3.74,2.44,2.44,3.26,2.87,2.12,2.36,2.09
c_0,1.3,1.07,1.39,0.85,0.91,0.89,2.29,2.23,2.42,3.53,4.09,2.44,3.0,2.76,2.27,2.86
b_0,1.33,1.25,1.29,1.15,0.77,0.51,2.46,2.46,2.05,2.35,3.55,2.21,3.04,3.99,2.09,2.43
f_0,1.05,0.95,1.47,1.09,1.23,0.91,2.07,2.03,2.22,2.51,2.4,3.64,3.53,2.2,3.87,3.07
h_0,1.53,1.06,1.23,1.05,1.06,0.96,1.7,2.12,2.28,2.4,2.39,2.28,2.43,2.0,2.06,2.82
a_0,1.33,1.11,1.31,1.19,1.11,0.53,2.23,2.33,2.04,2.59,2.54,2.42,3.08,3.76,1.99,2.19
e_0,1.29,1.0,1.38,0.99,1.19,0.88,2.27,2.22,2.12,2.28,2.73,2.44,2.91,1.93,3.81,3.12
g_0,1.1,1.0,1.68,0.98,1.08,0.92,2.16,1.92,1.87,2.44,2.43,3.34,2.85,2.28,1.96,2.48
