,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,0.92,0.87,0.91,0.79,0.62,0.69,0.68,0.57,0.59,0.61,0.53,0.48,0.59,0.55
e_1,0.8,1.0,1.19,0.96,0.92,0.85,0.7,0.7,0.88,0.64,0.75,0.64,0.62,0.69,0.62,0.61
c_1,1.1,0.83,1.0,1.12,1.27,0.68,0.73,0.7,0.48,0.54,0.6,0.54,0.62,0.58,0.54,0.64
d_1,1.13,1.05,0.9,1.0,0.97,0.77,0.71,0.52,0.77,0.86,0.63,0.58,0.62,0.58,0.51,0.52
b_1,1.08,1.1,0.8,1.01,1.0,1.48,0.83,0.68,0.64,0.81,0.64,0.71,0.61,0.6,0.6,0.56
a_1,1.26,1.17,1.49,1.31,0.69,1.0,0.85,0.87,0.75,0.67,0.81,1.02,0.8,0.77,0.67,0.65
h_1,1.65,1.43,1.35,1.41,1.21,1.12,1.0,1.14,0.92,0.93,0.94,0.84,0.87,0.86,0.72,0.99
g_1,1.48,1.41,1.46,1.91,1.45,1.06,0.88,1.0,0.86,0.95,1.24,0.89,0.69,0.73,0.85,0.76
d_0,1.46,1.12,2.07,1.22,1.68,1.23,1.06,1.13,1.0,0.79,0.97,0.89,0.93,0.85,0.91,0.88
c_0,1.68,1.58,1.87,1.14,1.24,1.47,1.07,1.08,1.16,1.0,0.95,1.36,1.01,0.9,0.97,0.9
f_0,1.59,1.32,1.78,1.58,1.61,1.23,1.06,0.8,1.03,1.02,1.0,1.08,1.0,1.13,0.94,0.67
b_0,1.63,1.65,1.9,1.6,1.35,1.04,1.26,1.17,1.04,0.74,0.94,1.0,1.1,0.82,1.38,0.88
h_0,1.95,1.61,1.65,1.61,1.58,1.29,1.19,1.46,1.02,0.96,1.01,0.91,1.0,0.92,0.89,0.97
e_0,2.13,1.64,1.62,1.72,1.66,1.42,1.11,1.28,1.15,1.08,0.84,1.3,1.1,1.0,1.07,0.84
a_0,1.68,1.62,1.86,2.06,1.67,1.49,1.42,1.19,1.07,1.07,1.08,0.72,1.11,0.87,1.0,1.0
g_0,1.69,1.62,1.59,1.9,1.79,1.61,1.02,1.34,1.19,1.11,1.46,1.17,0.97,1.1,0.98,1.0
