,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10.49,0.6,1.72,0.73,0.61,0.61,0.88,0.75,0.86,1.06,0.92,0.6,0.98,0.93,0.78,0.66
d_1,0.72,12.84,0.62,0.49,0.63,0.69,0.99,1.06,2.57,0.6,1.44,1.14,0.98,1.28,1.27,1.0
e_1,0.74,0.57,11.2,0.99,0.63,0.66,0.95,1.06,0.86,2.16,0.94,1.09,1.18,0.88,0.9,0.66
c_1,0.65,0.7,0.51,13.61,2.05,0.68,0.79,0.79,0.48,0.8,0.54,0.81,0.81,0.84,0.96,1.0
b_1,0.66,0.74,0.62,0.68,12.33,1.86,0.94,0.85,0.74,0.8,0.6,0.97,0.86,0.61,0.83,1.17
a_1,0.86,0.78,0.71,0.65,0.68,16.47,1.1,1.06,0.86,0.83,1.06,0.94,1.07,0.67,0.96,0.87
h_1,1.24,0.86,0.82,0.77,0.68,0.69,3.27,1.2,1.06,0.8,0.95,1.02,0.71,1.07,1.55,1.05
g_1,0.74,2.01,0.55,0.67,0.7,0.63,1.09,3.65,1.24,0.74,1.19,1.76,1.18,1.02,0.78,1.44
c_0,0.9,1.02,0.72,0.66,0.49,0.73,1.04,1.16,2.35,1.0,3.69,1.26,1.35,1.74,1.18,1.31
d_0,0.75,0.51,0.65,2.76,0.94,0.72,0.87,1.12,0.58,1.89,0.93,1.05,1.14,1.09,1.05,1.24
b_0,0.73,1.1,0.79,0.99,0.43,0.48,1.29,1.05,1.11,1.17,2.68,1.25,1.35,3.51,1.34,1.3
f_0,0.7,0.99,0.64,0.92,0.67,0.82,1.21,1.08,1.04,1.1,1.23,2.71,1.18,1.27,1.32,3.43
h_0,1.05,0.99,0.72,0.86,0.72,0.75,0.75,1.33,1.13,1.04,1.28,1.11,0.79,1.23,1.58,1.11
a_0,0.81,0.88,0.73,1.02,0.62,0.57,1.18,1.13,0.93,1.15,1.09,1.32,1.4,3.11,1.26,1.32
g_0,0.79,1.55,0.63,0.71,0.84,0.72,0.99,0.9,1.33,0.99,1.1,1.93,0.97,1.27,0.93,1.47
e_0,0.84,0.98,0.58,0.9,0.88,0.77,1.18,1.16,1.0,0.98,1.29,1.03,1.19,1.06,1.25,3.16
