,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.24,1.02,1.06,1.02,0.78,0.36,0.51,0.36,0.37,0.35,0.38,0.24,0.35,0.27,0.35
e_1,0.72,0.66,1.11,1.3,1.06,1.02,0.52,0.54,0.39,0.48,0.45,0.52,0.35,0.37,0.44,0.33
d_1,1.22,1.16,0.64,1.01,1.13,0.9,0.47,0.36,0.45,0.56,0.39,0.4,0.31,0.4,0.37,0.23
c_1,1.07,0.88,1.44,0.63,1.34,0.9,0.58,0.5,0.5,0.26,0.37,0.44,0.31,0.37,0.35,0.31
b_1,1.33,1.24,1.2,0.71,0.62,1.51,0.58,0.5,0.52,0.43,0.52,0.43,0.36,0.36,0.47,0.33
a_1,1.71,1.38,1.49,1.46,0.71,0.57,0.63,0.64,0.56,0.55,0.67,0.48,0.54,0.61,0.49,0.35
h_1,1.93,1.85,1.58,1.75,1.65,1.4,0.55,0.77,0.63,0.69,0.62,0.58,0.6,0.53,0.49,0.54
g_1,2.02,1.8,1.88,1.84,1.92,1.73,0.78,0.53,0.74,0.65,0.75,0.72,0.46,0.64,0.59,0.56
c_0,2.28,2.14,1.31,2.48,1.77,1.64,0.86,0.79,0.55,1.05,0.75,0.64,0.58,0.68,0.62,0.49
d_0,1.93,1.28,2.33,2.27,1.96,1.63,0.91,1.15,0.64,0.59,0.76,0.72,0.61,0.65,0.65,0.63
b_0,2.2,1.79,1.82,2.75,2.23,1.56,0.92,0.78,0.48,0.67,0.55,0.62,0.61,0.73,0.65,0.54
f_0,2.97,1.9,2.0,2.14,2.09,1.69,1.05,0.62,0.82,0.81,0.8,0.53,0.59,0.72,0.73,0.41
h_0,2.55,2.0,2.21,2.45,2.29,1.65,1.11,0.93,0.84,0.74,0.73,0.75,0.76,0.66,0.71,0.67
a_0,2.44,2.14,2.12,2.39,2.57,2.84,1.13,0.97,0.75,0.81,0.53,0.76,0.67,0.55,0.75,0.69
e_0,3.26,2.62,2.36,2.56,2.24,1.9,1.25,1.07,0.89,0.86,0.8,0.53,0.63,0.76,0.54,0.63
g_0,2.63,2.45,2.48,2.88,2.8,2.76,0.92,1.15,0.91,0.88,0.91,0.95,0.6,0.73,0.82,0.74
