,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.05,1.1,0.88,0.83,0.79,0.69,0.54,0.83,0.64,0.72,0.61,0.56,0.59,0.57,0.5
e_1,0.92,1.0,0.79,1.15,1.02,0.85,0.74,0.74,0.63,0.84,0.61,0.79,0.63,0.6,0.61,0.63
f_1,0.92,1.29,1.0,1.02,0.87,0.72,0.59,0.77,0.62,0.66,0.64,0.56,0.52,0.6,0.47,0.53
c_1,1.15,0.89,0.99,1.0,1.31,0.89,0.74,0.67,0.62,0.5,0.55,0.71,0.58,0.52,0.56,0.61
b_1,1.17,0.96,1.19,0.78,1.0,1.31,0.8,0.73,0.75,0.65,0.73,0.66,0.64,0.55,0.69,0.69
a_1,1.28,1.17,1.37,1.08,0.78,1.0,0.9,0.83,0.76,0.84,0.81,0.7,0.85,0.63,0.76,0.69
h_1,1.41,1.36,1.67,1.34,1.26,1.12,1.0,1.0,0.9,0.86,0.86,0.77,0.86,0.77,0.78,0.92
g_1,1.8,1.29,1.31,1.43,1.42,1.24,1.0,1.0,0.99,0.84,0.95,1.02,0.81,0.92,0.96,0.83
c_0,1.24,1.58,1.5,1.64,1.3,1.35,1.15,1.01,1.0,1.24,1.2,0.93,0.93,0.98,0.87,0.86
d_0,1.48,1.22,1.51,2.0,1.58,1.24,1.18,1.15,0.79,1.0,0.87,1.07,0.99,0.89,0.95,0.99
b_0,1.48,1.6,1.53,1.78,1.3,1.27,1.15,1.11,0.82,1.12,1.0,0.89,1.03,1.31,0.89,0.93
f_0,1.59,1.26,1.77,1.44,1.51,1.49,1.26,0.96,1.01,0.95,1.03,1.0,1.04,0.96,1.37,0.81
h_0,1.75,1.61,1.85,1.67,1.58,1.18,1.17,1.24,1.11,0.98,0.98,0.95,1.0,1.0,0.81,1.08
a_0,1.66,1.66,1.66,1.95,1.71,1.59,1.29,1.13,1.01,1.11,0.83,1.06,1.01,1.0,0.9,0.91
e_0,1.74,1.66,2.09,1.72,1.55,1.31,1.26,1.07,1.16,1.01,1.14,0.78,1.23,1.09,1.0,1.01
g_0,1.93,1.61,1.92,1.67,1.48,1.45,1.11,1.2,1.16,1.03,1.05,1.25,0.92,1.11,0.97,1.0
