,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.78,0.55,0.87,0.86,0.8,0.45,0.5,0.49,0.37,0.42,0.43,0.39,0.4,0.62,0.35
d_1,0.96,0.4,0.9,0.77,0.79,0.69,0.49,0.31,0.5,0.39,0.36,0.33,0.26,0.4,0.31,0.24
f_1,0.92,0.73,0.4,0.74,0.81,0.82,0.31,0.43,0.33,0.34,0.34,0.51,0.24,0.38,0.3,0.34
c_1,0.7,0.98,0.79,0.38,0.96,0.75,0.43,0.42,0.23,0.43,0.31,0.31,0.29,0.31,0.33,0.27
b_1,0.79,0.84,0.83,0.51,0.37,1.02,0.57,0.46,0.4,0.44,0.5,0.4,0.31,0.33,0.39,0.34
a_1,0.82,0.88,0.89,1.05,0.46,0.31,0.41,0.57,0.43,0.38,0.45,0.38,0.4,0.47,0.46,0.35
h_1,0.67,0.68,0.93,0.8,0.58,0.68,0.24,0.4,0.34,0.31,0.33,0.31,0.35,0.28,0.28,0.3
g_1,0.75,0.78,0.8,0.76,0.72,0.6,0.32,0.23,0.32,0.33,0.33,0.35,0.24,0.28,0.34,0.36
d_0,0.42,1.03,0.79,0.88,0.81,0.68,0.4,0.51,0.25,0.34,0.36,0.31,0.29,0.32,0.34,0.29
c_0,0.72,0.48,0.72,1.15,0.76,0.74,0.39,0.37,0.43,0.25,0.4,0.37,0.31,0.34,0.35,0.28
b_0,0.63,0.65,0.74,1.09,1.1,0.7,0.36,0.39,0.33,0.18,0.24,0.33,0.26,0.33,0.3,0.25
f_0,0.7,0.68,0.93,0.88,0.76,0.57,0.42,0.29,0.36,0.31,0.32,0.23,0.3,0.26,0.36,0.19
h_0,0.67,0.81,0.72,0.71,0.76,0.6,0.46,0.41,0.32,0.3,0.32,0.26,0.34,0.28,0.26,0.28
a_0,0.68,0.61,0.73,0.74,1.05,0.95,0.42,0.46,0.34,0.28,0.21,0.35,0.31,0.21,0.31,0.24
e_0,0.81,0.76,0.9,0.74,0.8,0.67,0.45,0.35,0.32,0.3,0.34,0.17,0.27,0.28,0.19,0.24
g_0,0.73,0.75,0.64,0.77,0.68,0.62,0.31,0.47,0.35,0.33,0.35,0.36,0.22,0.32,0.31,0.34
