,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.25,0.16,0.25,0.18,0.11,0.18,0.37,0.15,0.17,0.18,0.16,0.21,0.17,0.07,0.15
f_1,0.43,0.89,0.2,0.17,0.15,0.12,0.18,0.19,0.13,0.2,0.16,0.09,0.17,0.1,0.09,0.14
d_1,0.22,0.31,0.9,0.14,0.13,0.12,0.21,0.12,0.14,0.35,0.22,0.15,0.19,0.12,0.14,0.16
c_1,0.21,0.2,0.16,0.89,0.38,0.12,0.17,0.21,0.13,0.06,0.14,0.15,0.19,0.11,0.12,0.14
b_1,0.18,0.19,0.22,0.21,0.89,0.27,0.18,0.19,0.16,0.17,0.07,0.19,0.19,0.1,0.12,0.16
a_1,0.24,0.24,0.24,0.22,0.14,0.88,0.21,0.21,0.18,0.16,0.17,0.19,0.23,0.06,0.14,0.18
h_1,0.28,0.4,0.28,0.21,0.21,0.13,0.56,0.24,0.23,0.2,0.21,0.18,0.13,0.14,0.13,0.27
d_0,0.26,0.25,0.16,0.5,0.26,0.14,0.2,0.47,0.17,0.14,0.2,0.2,0.27,0.16,0.14,0.21
g_1,0.23,0.24,0.42,0.18,0.22,0.16,0.21,0.18,0.58,0.24,0.17,0.3,0.22,0.15,0.17,0.12
c_0,0.26,0.35,0.31,0.16,0.15,0.16,0.27,0.29,0.19,0.45,0.41,0.2,0.23,0.21,0.17,0.26
b_0,0.3,0.31,0.28,0.23,0.1,0.14,0.25,0.27,0.2,0.23,0.46,0.19,0.28,0.31,0.18,0.24
f_0,0.24,0.16,0.25,0.23,0.28,0.2,0.26,0.31,0.21,0.22,0.22,0.46,0.26,0.16,0.35,0.2
h_0,0.31,0.39,0.26,0.25,0.24,0.16,0.12,0.25,0.22,0.2,0.17,0.18,0.14,0.12,0.15,0.24
a_0,0.3,0.31,0.27,0.25,0.22,0.08,0.27,0.32,0.17,0.21,0.26,0.21,0.32,0.4,0.17,0.21
e_0,0.14,0.35,0.29,0.27,0.28,0.14,0.25,0.25,0.2,0.24,0.2,0.22,0.3,0.15,0.36,0.26
g_0,0.26,0.26,0.41,0.24,0.22,0.15,0.21,0.2,0.13,0.23,0.23,0.27,0.24,0.18,0.14,0.12
