,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.9,0.42,0.2,0.21,0.14,0.09,0.19,0.14,0.18,0.2,0.16,0.07,0.17,0.09,0.13,0.07
e_1,0.29,0.9,0.17,0.26,0.13,0.11,0.22,0.15,0.2,0.38,0.19,0.16,0.2,0.14,0.14,0.06
d_1,0.28,0.2,0.9,0.16,0.15,0.12,0.22,0.17,0.37,0.09,0.21,0.19,0.22,0.13,0.17,0.1
c_1,0.22,0.21,0.22,0.89,0.33,0.1,0.18,0.16,0.08,0.19,0.14,0.19,0.19,0.12,0.14,0.11
b_1,0.21,0.23,0.24,0.2,0.88,0.26,0.17,0.15,0.15,0.16,0.07,0.14,0.18,0.09,0.15,0.11
a_1,0.22,0.26,0.29,0.16,0.16,0.88,0.21,0.14,0.18,0.15,0.19,0.19,0.23,0.07,0.2,0.12
h_1,0.36,0.28,0.28,0.25,0.21,0.13,0.57,0.26,0.21,0.24,0.22,0.21,0.17,0.13,0.24,0.15
g_1,0.31,0.22,0.43,0.26,0.18,0.13,0.23,0.56,0.21,0.17,0.21,0.26,0.22,0.15,0.12,0.15
c_0,0.31,0.3,0.3,0.17,0.16,0.15,0.29,0.21,0.44,0.18,0.46,0.24,0.25,0.16,0.25,0.16
d_0,0.28,0.27,0.15,0.5,0.21,0.14,0.24,0.18,0.18,0.44,0.19,0.23,0.21,0.12,0.19,0.14
b_0,0.33,0.28,0.25,0.27,0.12,0.1,0.28,0.2,0.25,0.26,0.47,0.23,0.29,0.36,0.25,0.16
f_0,0.2,0.19,0.31,0.27,0.21,0.19,0.26,0.22,0.25,0.24,0.24,0.45,0.23,0.17,0.18,0.31
h_0,0.44,0.26,0.27,0.26,0.16,0.13,0.17,0.24,0.24,0.22,0.23,0.19,0.13,0.17,0.27,0.14
a_0,0.37,0.22,0.3,0.23,0.23,0.09,0.29,0.21,0.22,0.27,0.18,0.27,0.26,0.41,0.2,0.18
g_0,0.23,0.26,0.45,0.25,0.16,0.15,0.24,0.15,0.26,0.21,0.25,0.34,0.25,0.15,0.13,0.13
e_0,0.33,0.18,0.28,0.27,0.22,0.15,0.24,0.18,0.25,0.26,0.25,0.21,0.28,0.16,0.24,0.4
