,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.9,1.01,0.92,0.7,0.57,0.69,0.73,0.6,0.54,0.62,0.56,0.56,0.57,0.55
e_1,0.83,1.0,0.93,1.01,0.93,0.89,0.65,1.03,0.63,0.61,0.66,0.73,0.62,0.46,0.67,0.65
d_1,1.11,1.08,1.0,0.81,1.02,0.81,0.69,0.56,0.48,0.97,0.62,0.56,0.51,0.7,0.45,0.55
c_1,0.99,0.99,1.23,1.0,1.25,0.85,0.64,0.41,0.81,0.47,0.58,0.7,0.62,0.61,0.47,0.49
b_1,1.08,1.08,0.98,0.8,1.0,1.56,0.8,0.76,0.65,0.68,0.59,0.63,0.54,0.5,0.64,0.47
a_1,1.42,1.12,1.23,1.18,0.64,1.0,1.4,0.82,1.17,0.63,0.97,0.69,0.87,0.68,0.6,0.63
h_1,1.78,1.52,1.5,1.57,1.26,0.71,1.0,0.76,1.16,0.91,0.83,0.78,0.79,0.7,0.88,0.82
d_0,1.5,0.97,1.87,2.49,1.31,1.23,1.29,1.0,1.02,0.97,1.07,0.96,0.86,0.73,0.99,1.05
g_1,1.42,1.54,2.02,1.31,1.53,0.84,0.85,0.96,1.0,0.99,0.98,1.17,0.87,0.88,0.92,0.84
c_0,1.65,1.61,1.03,2.09,1.45,1.5,1.13,0.98,1.04,1.0,1.36,1.0,1.08,0.89,1.01,1.01
b_0,1.84,1.45,1.5,1.77,1.59,1.09,1.24,0.94,0.99,0.74,1.0,0.89,0.96,1.35,0.85,0.81
f_0,1.59,1.28,1.84,1.5,1.57,1.48,1.34,1.02,0.84,1.0,1.12,1.0,0.95,1.0,0.73,1.29
h_0,1.82,1.64,1.9,1.68,1.85,1.14,1.27,1.14,1.16,0.92,1.11,0.99,1.0,0.92,1.02,0.8
a_0,1.61,2.17,1.43,1.71,1.94,1.44,1.48,1.26,1.2,1.07,0.79,1.08,1.03,1.0,1.31,1.1
g_0,1.78,1.51,2.22,2.05,1.51,1.59,1.11,1.04,,1.0,1.23,1.37,0.94,0.83,1.0,0.85
e_0,1.92,1.47,1.66,2.2,2.06,1.38,1.19,1.05,1.22,1.08,1.31,0.8,1.24,0.97,1.15,1.0
