,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.22,0.63,0.46,0.74,0.49,0.41,1.05,2.31,0.93,0.94,1.13,1.05,1.43,0.65,0.93,1.26
f_1,1.0,2.29,0.5,0.52,0.53,0.37,0.9,1.04,0.73,1.05,1.21,0.45,1.35,0.66,0.99,0.94
d_1,0.58,0.62,2.44,0.46,0.46,0.35,1.05,0.63,1.0,2.29,1.37,1.26,1.51,1.09,0.96,1.21
c_1,0.49,0.62,0.54,2.46,0.98,0.42,1.03,0.92,0.9,0.39,0.9,1.0,1.34,0.76,0.78,1.27
b_1,0.61,0.54,0.54,0.51,2.56,0.86,1.04,1.15,0.88,0.9,0.44,1.17,1.63,0.8,0.63,1.29
a_1,0.52,0.73,0.63,0.55,0.46,3.14,1.17,1.23,0.91,1.44,1.12,1.16,1.38,0.96,0.34,1.38
h_1,0.72,1.01,0.67,0.67,0.65,0.46,3.08,1.28,1.45,1.29,1.28,1.09,1.09,1.16,1.04,1.84
d_0,0.74,0.68,0.4,1.34,0.63,0.51,1.16,2.71,1.0,1.05,1.18,1.6,1.63,1.09,1.12,1.58
g_1,0.72,0.56,1.25,0.5,0.57,0.55,1.1,1.21,3.39,1.49,1.25,2.29,1.69,1.26,1.33,1.01
c_0,0.84,0.8,0.89,0.38,0.54,0.41,1.33,1.14,1.21,2.84,2.73,1.38,1.8,1.4,1.34,1.44
b_0,0.97,0.75,0.81,0.6,0.25,0.42,1.29,1.55,1.19,1.56,2.94,1.46,2.09,1.34,2.94,1.37
f_0,0.7,0.59,0.81,0.63,0.62,0.54,1.66,1.57,1.33,1.66,1.48,2.98,1.89,2.54,0.84,1.82
h_0,0.76,0.96,0.84,0.68,0.47,0.47,0.74,1.45,1.53,1.4,1.45,1.43,0.92,1.22,1.07,2.16
e_0,0.45,0.96,0.68,0.72,0.53,0.5,1.56,1.55,1.15,1.74,1.53,1.76,1.91,3.43,1.04,1.81
a_0,0.77,0.85,0.87,0.69,0.51,0.24,1.24,1.37,1.43,1.43,1.49,1.44,1.95,1.6,3.28,1.51
g_0,0.62,0.65,1.07,0.78,0.65,0.45,1.25,1.12,0.87,1.43,1.23,2.23,1.5,1.21,1.05,1.07
