,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.5,0.91,0.77,1.07,0.77,0.75,1.0,1.7,0.99,0.91,1.09,1.01,0.99,1.21,1.14,0.81
f_1,1.32,1.51,0.82,0.88,0.75,0.62,0.97,1.04,0.99,1.03,0.91,0.68,0.86,1.0,0.91,0.64
d_1,1.0,1.04,1.56,0.72,0.74,0.69,1.09,0.89,0.77,1.66,1.17,1.04,1.0,1.21,1.08,0.97
c_1,0.84,0.94,0.98,1.58,1.33,0.74,1.1,0.83,0.95,0.71,0.79,0.92,0.79,0.99,0.86,0.9
b_1,0.9,0.94,1.02,0.78,1.67,1.42,1.14,0.97,1.0,1.09,0.83,1.16,0.81,1.26,1.1,0.96
a_1,1.04,1.13,1.05,1.0,0.65,1.78,1.33,1.17,1.05,1.21,1.26,1.19,0.75,1.25,1.48,0.96
h_1,1.16,1.47,1.21,1.01,0.96,0.78,1.78,1.18,1.33,1.22,1.13,1.14,1.11,1.16,1.51,1.19
d_0,0.97,1.24,0.97,1.88,1.13,0.89,1.37,1.71,1.27,0.9,1.24,1.27,1.18,1.35,1.33,1.18
g_1,1.1,0.99,1.7,1.15,0.99,0.87,1.3,1.2,1.93,1.38,1.39,1.93,1.26,1.18,1.26,1.38
c_0,1.41,1.23,1.04,1.2,0.86,0.87,1.43,1.78,1.2,1.73,2.13,1.45,1.46,1.6,1.71,1.17
b_0,1.18,1.43,1.21,1.45,0.94,0.63,1.43,1.56,1.25,1.06,1.78,1.42,2.08,1.46,1.38,1.24
f_0,1.12,1.21,1.37,1.26,1.01,0.92,1.4,1.41,1.09,1.31,1.44,1.84,1.33,1.61,1.49,2.23
a_0,1.2,1.34,1.36,1.51,1.23,0.72,1.5,1.54,1.31,1.21,1.16,1.33,1.88,1.51,1.36,1.43
h_0,1.27,1.56,1.28,1.25,0.91,1.07,1.35,1.58,1.73,1.25,1.35,1.28,1.29,1.24,1.85,1.14
g_0,1.17,1.32,1.71,1.31,1.03,0.81,1.44,1.41,1.0,1.32,1.49,1.79,1.54,1.4,1.35,1.38
e_0,1.0,1.73,1.36,1.29,1.23,0.95,1.48,1.47,1.27,1.43,1.41,1.17,1.28,1.72,1.44,1.82
