,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8533.42,1828.72,1372.9,2339.64,3562.57,10003.72,1378656.27,4384707.94,3905036.37,4405068.76,13948530.5,4550564.94,65852321.9,42287807.56,42948554.55,126751916.79
e_1,958.0,10083.13,1399.34,2182.78,3271.23,15626.85,1282373.9,7352242.48,3297823.54,5585663.21,11205710.22,27494872.86,61027311.05,23901183.12,57021394.02,149939551.71
d_1,985.9,1074.17,15879.25,1252.69,3486.65,14955.28,1376237.19,1127430.91,3698185.21,10874300.53,16851689.73,26549417.99,66844597.65,74424600.92,76668558.74,149537731.84
c_1,971.35,954.5,1431.0,21176.87,6775.99,13098.63,1237766.11,4949156.95,2679223.02,1154459.36,12724175.34,26032340.99,80447111.39,50327863.19,50327863.19,134636667.4
b_1,840.22,1265.99,1662.14,2122.03,47231.32,29395.51,1248838.05,3684007.8,3363719.79,4358332.95,3140243.28,20236435.59,44885006.84,30279364.42,32142709.92,141041182.88
a_1,975.3,901.08,1785.1,1947.42,3138.31,253573.86,1179414.23,3906795.39,2819733.58,5992497.28,14809818.36,32709756.91,78674485.69,61308588.32,26088760.99,223098384.69
h_1,2473.66,1346.26,3100.45,3085.09,5614.76,20810.41,8483648.54,6253631.53,8548709.52,9681024.68,22926625.5,32823078.72,42722870.42,116169954.1,92935963.28,359111122.34
d_0,2048.61,1919.31,730.39,7247.17,5552.73,19355.59,1910638.69,17888466.31,3851307.58,6832961.14,22928110.24,48219242.75,104437103.26,112863964.77,81917393.78,290304622.72
g_1,1362.15,1367.0,4391.13,3130.51,6461.43,25203.85,1497722.04,6108965.54,30003370.5,7688598.91,31015805.07,84324357.5,105090632.14,120318881.03,118438898.51,130351583.96
c_0,1974.72,1510.89,3306.8,1122.93,5881.3,23506.01,2794511.31,6201708.61,8634725.95,27938383.92,55508162.07,49730012.84,136650357.59,119294494.27,160363090.66,338994831.35
b_0,1613.5,2215.98,2999.57,3865.1,1481.22,15369.31,2740471.26,7616730.38,9287660.47,9657712.96,82131521.29,53925343.14,115926385.23,140372027.87,231490712.62,256129428.13
f_0,827.83,1644.07,3968.96,3083.41,8985.29,16985.33,1751251.43,6638998.7,7929250.81,10608668.97,30082443.54,152722315.71,126806640.55,243060289.86,110225015.17,339672315.43
h_0,2220.05,1636.15,2438.79,3445.4,5765.07,28747.79,1034695.71,6791214.08,6623312.02,9168036.17,28449730.61,50860891.08,52960863.98,117825225.46,114552302.53,363093324.02
e_0,1985.14,569.39,2842.67,3530.48,7924.59,20111.36,2860662.86,9401590.31,6882903.39,12088674.48,37661064.64,57770992.11,145910960.33,445478171.08,83527157.08,522842716.93
a_0,2038.8,1834.72,3241.64,3597.09,5980.83,,2640611.87,6403981.8,7523173.47,10918802.75,29017541.61,55312652.02,110073180.6,125290735.62,431556978.24,313705630.16
g_0,1237.07,1458.73,4835.41,2756.73,7425.38,19975.1,2029486.55,5477714.56,4163841.11,7838521.61,26280493.02,84296241.45,81723145.45,111108803.82,106993662.93,152175920.82
