,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.36,1.03,1.42,1.72,3.56,16.79,24.96,31.62,34.33,43.58,52.07,67.39,80.82,74.07,167.87
e_1,0.74,1.0,1.04,1.42,1.93,3.59,19.29,27.18,42.82,35.69,49.5,52.65,90.03,91.01,108.57,154.31
d_1,0.97,0.96,1.0,1.3,1.63,3.29,19.11,21.36,34.73,43.38,40.37,39.16,82.96,76.81,95.35,113.85
c_1,0.7,0.71,0.77,1.0,1.92,2.57,13.37,19.24,14.45,16.01,32.17,27.11,56.87,62.45,60.76,112.3
b_1,0.58,0.52,0.61,0.52,1.0,2.9,11.86,13.71,17.57,16.73,19.87,25.48,50.1,34.94,47.66,72.64
a_1,0.28,0.28,0.3,0.39,0.34,1.0,5.43,5.42,5.8,10.59,11.82,13.46,25.61,23.71,24.81,40.96
h_1,0.06,0.05,0.05,0.08,0.08,0.19,1.0,1.45,1.57,1.48,1.87,2.3,4.08,4.69,4.24,8.61
g_1,0.04,0.04,0.05,0.05,0.07,0.17,0.69,1.0,1.07,1.39,1.92,1.78,2.67,4.63,3.86,5.18
d_0,0.03,0.02,0.03,0.07,0.05,0.17,0.65,0.96,1.0,1.14,1.48,1.45,2.43,3.26,2.27,6.83
c_0,0.03,0.03,0.02,0.07,0.06,0.09,0.68,0.74,0.83,1.0,1.07,2.11,2.46,3.36,2.79,4.9
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.55,0.51,0.65,0.93,1.0,0.97,2.42,1.8,2.95,4.01
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.43,0.53,0.64,0.49,1.02,1.0,1.86,3.16,1.91,3.56
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.24,0.38,0.4,0.4,0.41,0.55,1.0,0.99,0.93,2.57
a_0,0.01,0.01,0.01,0.02,0.03,,0.21,0.22,0.3,0.3,0.54,0.34,0.95,1.0,1.17,2.23
e_0,0.01,0.01,0.01,0.02,0.02,0.05,0.24,0.26,0.43,0.37,0.35,0.55,1.19,0.86,1.0,1.44
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.2,0.16,0.21,0.25,0.29,0.39,0.48,0.71,
