,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.35,4.41,3.82,4.96,4.69,1.3,0.82,0.83,0.71,1.32,1.18,0.66,0.78,1.72,0.94
f_1,3.6,1.12,4.28,3.92,3.89,3.53,0.8,0.98,0.75,0.78,1.15,1.32,0.47,0.85,0.69,0.71
c_1,3.57,4.86,1.12,7.23,4.41,4.21,1.25,0.52,2.08,1.04,1.37,0.93,0.62,0.87,1.01,0.62
d_1,6.1,5.16,4.82,1.12,4.86,4.93,1.43,2.58,0.93,1.17,0.96,0.94,0.68,1.02,0.82,0.43
b_1,5.8,5.98,3.04,6.2,1.13,6.34,1.87,1.45,1.35,3.28,1.84,1.61,1.09,1.48,1.11,0.76
a_1,9.46,11.18,8.21,7.78,3.91,1.14,2.44,2.26,2.13,2.53,2.58,1.6,1.24,3.85,1.78,1.54
h_1,14.82,18.73,14.41,14.53,17.13,14.24,1.77,3.37,3.08,2.89,3.52,3.1,3.54,3.16,3.17,2.18
d_0,10.07,18.64,18.05,36.16,17.56,18.13,6.38,2.21,3.79,3.82,7.2,3.45,3.13,3.41,4.67,3.19
c_0,23.91,23.08,51.65,10.65,22.93,16.29,5.7,5.89,2.2,3.66,4.94,4.14,2.88,3.77,4.44,2.54
b_0,21.18,28.51,39.49,19.2,40.22,21.84,6.14,5.12,2.72,2.18,5.86,4.59,3.45,4.58,5.28,3.7
g_1,26.51,30.3,28.45,20.87,29.21,27.46,5.62,5.52,4.34,4.7,1.82,4.03,2.22,3.63,3.79,5.46
f_0,27.06,51.71,34.26,24.3,26.68,22.88,7.05,5.8,4.93,5.28,4.71,2.13,3.51,5.07,5.2,2.13
h_0,29.08,35.58,31.97,27.28,30.83,22.09,15.76,6.8,5.73,6.83,9.16,5.6,5.84,6.64,5.35,4.35
a_0,30.21,28.31,44.17,28.8,43.36,51.95,11.01,7.77,5.42,3.05,7.64,7.17,4.96,2.5,5.78,4.88
e_0,57.31,42.62,32.28,28.27,33.04,27.86,8.84,7.6,6.6,7.64,8.69,2.96,4.9,7.7,2.48,4.08
g_0,36.76,41.26,41.44,34.94,40.81,34.95,8.74,7.77,7.49,6.83,14.82,6.75,4.09,7.55,6.87,6.57
