,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.07,0.86,0.84,0.83,0.8,0.46,0.34,0.44,0.58,0.42,0.38,0.37,0.38,0.26,0.29
f_1,0.93,1.0,1.34,1.01,0.84,0.65,0.4,0.49,0.41,0.41,0.36,0.38,0.28,0.3,0.38,0.22
e_1,1.16,0.75,1.0,0.96,0.89,0.77,0.54,0.45,0.59,0.48,0.46,0.41,0.33,0.32,0.28,0.26
c_1,1.19,0.99,1.04,1.0,1.27,0.79,0.58,0.49,0.37,0.35,0.35,0.48,0.45,0.3,0.34,0.37
b_1,1.21,1.19,1.12,0.79,1.0,1.16,0.51,0.49,0.48,0.45,0.49,0.46,0.38,0.48,0.4,0.36
a_1,1.25,1.53,1.3,1.26,0.86,1.0,0.81,0.9,0.63,0.57,0.66,0.55,0.46,0.5,0.49,0.48
h_1,2.18,2.47,1.82,1.71,1.95,1.3,1.0,1.27,0.8,0.75,0.77,0.68,0.82,0.74,0.76,0.63
g_1,2.99,2.0,2.25,2.07,1.96,1.15,0.78,1.0,0.98,0.98,0.93,1.0,0.72,0.81,0.43,0.73
d_0,2.11,2.44,1.69,2.83,2.0,1.56,1.22,1.05,1.0,0.82,1.05,0.76,0.88,0.61,0.72,0.83
c_0,1.63,2.63,2.2,3.12,2.25,1.79,1.36,1.0,1.21,1.0,1.33,0.88,0.95,0.83,0.68,0.84
b_0,2.37,2.96,2.14,2.84,2.0,1.46,1.29,1.09,0.99,0.74,1.0,0.83,0.91,1.04,0.76,0.59
f_0,2.62,2.72,2.52,2.16,2.16,1.78,1.46,0.98,1.23,1.18,1.18,1.0,0.85,0.97,0.71,1.43
h_0,2.69,3.71,2.84,2.24,2.59,2.13,1.28,1.36,1.15,1.1,1.08,1.09,1.0,0.9,1.06,0.66
a_0,2.51,3.45,3.1,2.98,2.07,,1.3,1.38,1.63,1.27,1.02,1.0,1.1,1.0,1.06,0.92
g_0,3.91,2.62,3.34,3.21,2.35,1.85,1.32,,1.28,1.45,1.26,1.46,0.95,1.03,1.0,1.06
e_0,3.44,4.5,3.88,3.01,2.9,1.95,1.57,1.36,1.16,1.17,1.87,0.73,1.5,1.09,1.01,1.0
