,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.68,6.11,5.14,5.53,4.79,5.08,1.97,1.88,2.87,2.42,1.79,,1.26,1.72,2.79,1.63
e_1,3.78,0.67,5.56,5.33,4.99,5.65,2.72,2.45,2.62,2.66,2.03,2.06,1.47,2.0,,1.87
c_1,6.61,6.92,0.65,5.42,7.0,5.24,2.5,1.49,2.22,,2.26,2.31,1.9,1.84,1.45,1.52
d_1,6.86,6.76,6.22,0.65,5.81,5.26,2.24,,2.09,2.01,2.07,1.92,1.76,2.95,1.6,1.41
b_1,5.62,7.63,4.28,6.17,0.63,6.56,3.45,2.39,2.82,2.09,,1.96,1.97,1.94,1.52,1.88
a_1,7.09,9.03,7.07,7.29,4.48,0.58,3.68,2.97,,3.16,2.7,2.54,1.67,,,
h_1,5.25,4.97,5.21,5.59,3.88,4.15,0.61,2.1,2.08,1.82,1.68,1.52,,2.12,1.8,1.11
d_0,5.41,2.93,5.58,,5.1,4.22,1.98,0.71,2.27,1.42,1.76,2.0,1.64,1.41,1.72,1.48
g_1,5.57,4.92,6.44,6.01,5.16,,2.17,2.12,0.57,2.53,2.77,2.46,1.19,1.87,1.88,
c_0,4.55,3.9,,3.71,7.21,3.93,2.07,1.9,1.92,0.69,2.15,2.4,1.65,1.34,1.48,1.39
b_0,5.78,7.01,4.63,5.02,,5.36,1.89,1.83,1.82,1.08,0.69,1.89,1.26,,1.77,1.58
f_0,,5.08,4.52,6.38,5.32,4.58,2.79,1.82,1.27,2.24,2.06,0.66,1.87,2.68,2.08,0.97
h_0,5.33,5.56,4.27,3.96,3.99,5.44,,1.23,2.54,1.53,1.65,1.38,,1.34,1.37,1.84
a_0,6.72,6.5,7.65,5.06,8.27,,2.45,2.45,2.33,2.31,,1.45,1.67,0.61,,2.23
e_0,6.48,,7.27,9.11,8.54,,2.38,2.11,2.96,2.28,2.12,0.98,1.96,,0.61,
g_0,4.82,4.68,4.73,4.7,4.22,,2.46,1.89,,1.8,1.59,3.05,1.02,1.49,,
