,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,1.03,1.14,0.9,0.89,0.82,0.25,0.29,0.18,0.17,0.18,0.16,0.12,0.18,0.17,0.08
f_1,0.84,0.42,0.93,0.97,0.9,0.76,0.2,0.24,0.18,0.3,0.19,0.23,0.11,0.19,0.18,0.15
e_1,1.01,0.59,0.41,1.07,1.08,0.89,0.25,0.23,0.21,0.34,0.21,0.24,0.16,0.2,0.24,0.18
c_1,1.32,0.95,0.78,0.4,0.91,0.84,0.29,0.13,0.25,0.26,0.2,0.2,0.14,0.18,0.2,0.15
b_1,1.12,1.18,0.98,0.65,0.38,1.19,0.32,0.19,0.29,0.29,0.32,0.21,0.16,0.2,0.19,0.14
a_1,1.2,1.39,1.33,1.24,0.64,0.33,0.33,0.25,0.3,0.37,0.38,0.33,0.19,0.44,0.26,0.19
h_1,1.7,1.73,1.77,1.79,1.62,1.57,0.29,0.38,0.35,0.51,0.34,0.37,0.3,0.29,0.34,0.29
d_0,2.71,1.67,1.19,2.05,1.89,1.96,0.67,0.31,0.43,0.68,0.47,0.54,0.32,0.38,0.43,0.41
c_0,1.25,2.11,2.1,2.56,2.2,2.02,0.62,0.55,0.29,0.54,0.41,0.38,0.31,0.37,0.36,0.27
g_1,1.94,1.97,1.88,2.16,1.97,1.84,0.48,0.45,0.38,0.26,0.4,0.39,0.2,0.34,0.35,0.31
b_0,1.66,2.16,2.09,2.93,2.51,1.9,0.59,0.46,0.26,0.53,0.27,0.4,0.3,0.34,0.43,0.27
f_0,2.03,2.75,2.32,2.2,2.09,2.02,0.56,0.49,0.39,0.4,0.45,0.27,0.31,0.41,0.37,0.22
h_0,2.48,2.51,2.31,2.36,2.28,2.02,0.85,0.5,0.46,0.62,0.45,0.49,0.38,0.43,0.4,0.36
a_0,2.18,2.7,2.31,2.54,3.24,3.35,0.8,0.51,0.4,0.83,0.32,0.51,0.32,0.25,0.49,0.35
e_0,2.37,3.57,3.14,2.57,2.3,2.34,0.73,0.62,0.55,0.58,0.55,0.27,0.35,0.48,0.26,0.3
g_0,2.89,2.87,2.75,3.13,2.62,2.66,0.65,0.59,0.57,0.92,0.59,0.54,0.31,0.5,0.44,0.47
