,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.38,0.93,0.73,0.85,0.67,0.44,0.49,0.49,0.45,0.28,,0.27,,0.26,0.33
e_1,0.72,1.0,1.0,0.87,0.84,0.93,0.46,0.53,0.35,0.43,0.39,0.4,0.4,,0.32,0.32
c_1,1.07,1.0,1.0,1.17,1.26,0.92,0.56,0.34,,0.46,0.4,0.33,0.42,0.34,0.33,0.3
d_1,1.38,1.15,0.86,1.0,0.94,0.73,0.44,,0.59,0.34,0.44,0.41,0.5,0.28,0.33,0.22
b_1,1.17,1.19,0.8,1.07,1.0,1.22,0.62,0.52,0.45,0.4,,0.41,0.41,0.37,,0.26
a_1,1.5,1.08,1.08,1.37,0.82,1.0,0.74,0.68,0.6,0.64,,0.6,0.43,,,0.41
h_1,2.26,2.16,1.77,2.29,1.62,1.34,1.0,1.0,0.64,1.39,0.79,0.81,,0.76,0.76,0.7
d_0,2.03,1.9,2.97,,1.94,1.47,1.0,1.0,0.97,0.9,1.08,0.74,0.75,0.64,0.57,0.7
c_0,2.04,2.86,,1.7,2.21,1.68,1.56,1.03,1.0,0.93,1.11,1.05,0.71,0.65,0.84,0.72
g_1,2.22,2.33,2.2,2.93,2.49,1.57,0.72,1.11,1.08,1.0,0.97,1.28,0.71,,,
b_0,3.6,2.57,2.48,2.25,,,1.26,0.92,0.9,1.03,1.0,0.96,0.85,,0.98,0.88
f_0,,2.49,2.99,2.43,2.41,1.68,1.23,1.35,0.96,0.78,1.04,1.0,1.13,1.32,,0.59
h_0,3.7,2.52,2.37,1.99,2.42,2.35,,1.32,1.4,1.4,1.18,0.88,,0.84,0.86,1.02
e_0,,,2.92,3.55,2.73,,1.32,1.55,1.55,,,0.76,1.19,1.0,,1.1
a_0,3.85,3.14,3.07,3.02,,,1.32,1.75,1.19,,1.03,,1.17,,1.0,
g_0,3.01,3.1,3.29,4.48,3.83,2.47,1.42,1.43,1.39,,1.14,1.68,0.98,0.91,,
