,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.55,2.01,0.56,0.76,0.6,0.6,0.93,0.73,0.78,1.06,0.84,0.6,0.94,0.78,0.69,0.86
e_1,0.79,10.88,0.59,0.92,0.61,0.65,0.95,0.82,0.87,2.3,0.98,0.96,0.93,1.03,0.72,0.98
d_1,0.73,0.66,13.61,0.46,0.6,0.8,0.87,2.77,1.04,0.64,1.51,1.18,1.09,1.15,1.14,1.06
c_1,0.61,0.48,0.71,12.71,2.22,0.62,0.78,0.43,0.96,0.66,0.58,0.91,0.93,0.89,1.05,1.01
b_1,0.62,0.54,0.77,0.62,12.13,1.98,1.0,0.85,0.82,0.81,0.55,0.9,0.93,0.66,0.87,0.96
a_1,0.84,0.69,0.75,0.81,0.58,17.05,1.3,0.94,0.92,1.08,0.96,1.05,1.04,0.64,0.87,1.0
h_1,1.42,0.76,0.89,0.81,0.63,0.67,2.93,0.98,1.28,0.81,1.2,0.96,0.78,1.21,0.95,1.47
c_0,1.08,0.8,0.94,0.63,0.6,0.59,0.96,2.17,1.4,1.11,3.51,1.2,1.31,1.75,1.39,1.07
g_1,0.56,0.57,1.91,0.82,0.75,0.69,0.89,1.32,3.82,0.76,1.04,2.08,1.08,0.97,1.16,0.83
d_0,0.79,0.71,0.61,2.25,0.87,0.55,1.11,0.71,0.99,1.66,1.07,0.81,1.19,1.21,1.0,0.95
b_0,0.98,0.9,0.9,0.89,0.57,0.48,1.2,1.21,1.23,1.01,2.6,1.16,1.24,3.33,1.27,1.07
f_0,0.58,0.57,0.93,0.92,0.91,0.72,1.17,1.35,1.13,0.88,1.29,2.55,1.33,1.77,3.2,1.05
h_0,1.22,0.82,0.94,0.85,0.71,0.57,0.74,1.13,1.4,0.93,0.93,0.99,0.67,0.93,1.28,1.43
a_0,0.9,0.7,0.83,1.09,0.88,0.49,1.07,1.04,1.11,0.98,1.4,1.1,1.1,2.81,1.59,0.97
e_0,0.86,0.48,1.05,0.91,0.79,0.66,1.13,1.22,1.47,0.91,1.35,1.31,1.48,1.26,3.43,1.26
g_0,0.66,0.59,1.67,0.81,0.66,0.65,1.06,1.11,0.93,0.81,1.34,2.33,1.12,1.28,1.6,0.8
