,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.6,1.68,1.69,1.73,1.33,0.33,0.58,0.31,0.32,0.31,0.57,0.18,0.38,0.26,0.36
e_1,0.93,0.44,1.93,2.04,1.71,1.77,0.54,0.63,0.36,0.38,0.41,0.45,0.28,0.33,0.73,0.27
d_1,1.89,1.94,0.41,1.83,1.98,1.68,0.45,0.3,0.33,0.83,0.34,0.36,0.25,0.35,0.35,0.15
c_1,1.69,1.43,2.61,0.41,1.85,1.51,0.68,0.58,0.82,0.2,0.37,0.44,0.23,0.31,0.33,0.27
b_1,2.42,2.05,1.86,0.97,0.39,2.41,0.64,0.54,0.53,0.44,0.88,0.38,0.31,0.38,0.49,0.28
a_1,2.68,2.52,2.82,2.76,1.04,0.32,0.6,0.67,0.53,0.49,0.6,0.44,0.48,1.14,0.46,0.33
h_1,2.72,2.99,2.58,2.93,3.12,2.49,0.32,0.83,0.6,0.7,0.54,0.54,0.63,0.5,0.48,0.44
g_1,4.02,3.35,2.43,2.99,3.39,3.28,0.76,0.29,0.68,0.65,0.74,0.64,0.35,0.66,0.52,0.6
c_0,4.05,3.7,1.7,6.72,3.5,2.91,0.9,0.93,0.35,1.01,0.56,0.57,0.48,0.61,0.56,0.39
d_0,3.31,1.72,5.58,3.16,3.75,3.08,0.92,1.29,0.71,0.39,0.77,0.68,0.54,0.58,0.58,0.62
b_0,3.57,3.03,2.91,4.71,5.15,2.94,0.99,0.91,0.36,0.64,0.34,0.63,0.48,0.61,0.6,0.5
f_0,7.14,3.66,3.04,4.03,3.61,2.81,1.22,0.55,0.75,0.79,0.67,0.31,0.5,0.65,0.63,0.29
h_0,4.26,3.36,3.84,4.45,4.41,3.17,1.69,0.95,0.92,0.67,0.73,0.65,0.97,0.61,0.69,0.61
a_0,4.17,3.99,3.79,4.0,5.27,7.81,1.33,1.09,0.75,0.73,0.4,0.77,0.56,0.33,0.75,0.6
e_0,5.58,6.52,4.0,4.33,4.99,3.54,1.44,1.35,0.96,0.77,0.77,0.42,0.51,0.82,0.3,0.64
g_0,5.45,5.03,3.96,5.89,5.06,6.53,1.03,1.72,0.92,0.98,0.89,0.88,0.51,0.79,0.95,0.86
