,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,3.74,0.43,0.38,0.27,0.33,0.42,0.82,0.69,1.41,0.19,0.89,0.95,0.96,1.05,0.65,1.19
f_1,0.41,3.81,0.7,0.33,0.39,0.25,0.73,0.68,0.83,0.85,0.85,0.24,0.8,0.8,0.59,0.74
e_1,0.33,0.38,4.21,0.5,0.35,0.37,0.67,0.65,0.84,1.61,0.88,0.87,0.91,0.95,0.23,0.88
c_1,0.36,0.45,0.37,4.36,0.72,0.44,0.7,0.82,0.13,0.78,0.45,0.87,0.76,0.9,0.78,0.68
b_1,0.43,0.44,0.32,0.39,5.11,0.8,0.71,0.76,0.77,0.93,0.1,0.67,0.54,0.71,0.73,0.74
a_1,0.3,0.33,0.35,0.5,0.56,7.0,0.84,0.57,0.73,0.77,0.82,0.91,,0.86,1.2,1.07
h_1,0.83,1.05,0.63,0.58,0.47,0.44,5.07,1.65,1.42,1.15,1.57,1.39,1.11,0.6,1.57,1.83
g_1,1.09,0.58,0.56,0.64,0.54,0.67,1.29,6.2,1.14,1.23,1.8,2.09,1.33,1.64,1.92,0.6
c_0,0.83,0.63,0.89,0.31,0.49,0.63,1.23,1.39,3.99,1.28,3.09,1.52,1.9,1.49,1.78,1.84
d_0,0.29,0.7,0.7,1.55,0.69,0.61,1.21,1.3,0.85,3.49,1.38,1.31,1.63,1.56,1.41,1.21
b_0,0.95,0.89,0.61,0.91,0.22,0.38,1.46,1.34,1.27,1.43,4.27,1.43,2.41,1.45,1.56,1.26
f_0,0.81,0.18,0.63,0.66,0.74,0.82,1.74,1.67,1.81,1.44,1.81,4.9,1.49,1.53,4.05,2.12
a_0,0.69,0.8,0.63,1.06,0.68,,1.41,1.38,1.46,1.22,1.69,1.46,5.55,1.77,1.53,1.19
h_0,0.73,1.02,0.66,0.77,0.54,0.61,0.49,1.69,1.29,1.29,1.37,1.29,1.61,0.58,1.18,1.7
e_0,0.84,0.6,0.29,0.87,1.0,0.79,1.14,1.18,1.3,1.44,1.52,1.48,1.46,1.86,6.48,1.36
g_0,1.24,0.61,0.53,0.74,0.5,0.5,1.33,0.53,1.45,1.24,1.6,2.36,1.58,1.71,1.74,0.63
