,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.16,0.39,0.44,0.49,0.48,0.4,0.09,0.09,0.17,0.09,0.08,0.13,0.05,0.08,0.1,0.08
e_1,0.25,0.16,0.49,0.6,0.5,0.47,0.13,0.1,0.14,0.09,0.1,0.12,0.07,0.1,0.15,0.07
d_1,0.56,0.51,0.16,0.47,0.4,0.4,0.13,0.09,0.07,0.13,0.09,0.08,0.06,0.08,0.09,0.04
c_1,0.49,0.35,0.6,0.14,0.5,0.39,0.13,0.13,0.13,0.05,0.09,0.09,0.06,0.08,0.08,0.06
b_1,0.5,0.49,0.48,0.23,0.14,0.53,0.15,0.13,0.13,0.1,0.16,0.09,0.08,0.09,0.09,0.08
a_1,0.5,0.47,0.41,0.54,0.22,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.09,0.2,0.1,0.07
h_1,0.39,0.39,0.42,0.47,0.37,0.29,0.06,0.09,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.06
c_0,0.45,0.45,0.22,0.77,0.45,0.37,0.12,0.05,0.1,0.11,0.08,0.07,0.06,0.09,0.07,0.05
g_1,0.43,0.43,0.37,0.41,0.4,0.39,0.09,0.07,0.05,0.09,0.08,0.08,0.05,0.08,0.06,0.06
d_0,0.35,0.24,0.56,0.5,0.45,0.34,0.14,0.09,0.15,0.06,0.09,0.09,0.07,0.09,0.09,0.07
b_0,0.45,0.39,0.29,0.53,0.64,0.35,0.11,0.05,0.12,0.08,0.05,0.07,0.06,0.07,0.07,0.05
f_0,0.63,0.38,0.34,0.39,0.4,0.36,0.11,0.08,0.07,0.1,0.08,0.04,0.06,0.08,0.07,0.04
h_0,0.38,0.39,0.36,0.4,0.4,0.35,0.14,0.07,0.11,0.08,0.08,0.08,0.08,0.07,0.07,0.06
a_0,0.47,0.36,0.34,0.41,0.48,0.59,0.1,0.07,0.12,0.09,0.04,0.06,0.07,0.04,0.06,0.05
e_0,0.52,0.55,0.33,0.37,0.45,0.43,0.12,0.07,0.12,0.08,0.08,0.04,0.05,0.06,0.03,0.04
g_0,0.42,0.38,0.37,0.38,0.41,0.36,0.09,0.08,0.14,0.09,0.09,0.08,0.05,0.08,0.07,0.08
