,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.16,1.83,1.94,1.74,1.46,0.58,0.8,0.51,0.52,0.5,0.68,0.32,0.42,0.41,0.44
e_1,1.36,1.06,1.95,2.33,2.18,1.92,0.79,0.76,0.61,0.76,0.58,0.69,0.47,0.6,0.86,0.49
d_1,2.35,2.64,1.06,2.01,2.2,1.81,0.92,0.55,0.68,1.02,0.6,0.59,0.47,0.52,0.46,0.32
c_1,2.44,1.89,2.68,1.06,2.34,1.99,0.8,0.93,0.85,0.41,0.66,0.71,0.58,0.57,0.64,0.46
b_1,2.99,2.4,2.59,1.62,1.06,2.51,1.04,0.9,0.92,0.74,1.21,0.72,0.56,0.62,0.71,0.54
a_1,4.13,3.67,3.13,3.17,1.98,1.07,1.49,1.24,1.15,1.28,1.24,0.78,0.82,1.59,0.94,0.87
h_1,6.43,5.84,5.37,5.91,4.88,4.05,1.32,2.72,1.67,1.56,1.55,1.45,2.1,1.52,1.42,1.3
g_1,6.71,8.19,6.62,5.97,6.44,4.93,1.7,1.33,2.0,1.99,1.91,2.13,1.34,1.84,1.44,1.72
c_0,8.29,7.49,4.29,8.66,6.17,5.71,2.49,2.03,1.52,2.91,2.51,2.26,1.78,1.92,1.97,1.51
d_0,7.36,4.29,9.78,8.57,6.73,5.08,2.82,4.08,1.87,1.55,2.13,1.68,1.85,1.72,1.59,1.45
b_0,9.13,7.88,6.64,8.98,7.37,5.54,2.65,2.21,1.3,2.17,1.51,1.78,1.7,2.16,1.89,1.46
f_0,11.7,8.12,7.37,7.57,7.95,6.85,3.41,1.89,2.1,3.06,2.55,1.48,2.07,2.54,2.26,1.28
h_0,11.06,8.96,9.53,8.63,8.04,7.8,3.59,3.36,2.33,2.49,2.6,2.12,2.6,2.09,2.27,1.93
a_0,11.73,8.75,9.64,10.56,11.69,9.03,3.55,3.42,2.5,2.86,1.79,2.58,2.26,1.59,2.05,1.92
e_0,15.87,11.83,11.44,8.96,10.41,7.61,3.43,3.58,2.87,3.27,2.74,1.56,2.43,3.64,1.52,1.9
g_0,11.35,10.71,11.54,11.88,12.08,8.81,3.57,4.09,3.11,3.55,3.08,3.56,2.36,2.73,3.0,2.94
