,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.66,2.34,2.22,1.87,1.94,1.96,0.92,2.25,0.87,0.62,0.82,0.67,0.6,0.68,0.67,0.37
f_1,1.79,0.66,2.19,2.48,2.16,1.47,0.72,0.8,0.86,0.91,0.76,1.73,0.55,0.62,0.59,0.65
e_1,2.24,1.37,0.65,2.16,2.17,2.01,1.09,0.98,0.75,1.3,0.94,0.84,0.7,0.75,1.22,0.72
c_1,2.59,2.0,2.18,0.65,2.37,1.84,0.93,0.49,1.21,1.0,0.64,0.71,0.67,0.76,0.78,0.72
b_1,2.58,2.38,2.22,1.4,0.62,3.53,1.08,0.94,0.83,0.9,1.65,0.8,0.68,0.92,0.77,0.62
a_1,2.52,2.83,2.88,3.81,1.39,0.58,1.0,0.78,0.9,1.1,1.06,1.35,0.71,1.76,0.98,0.81
h_1,2.47,2.82,2.86,2.66,2.32,2.76,0.6,1.08,0.87,1.38,0.85,0.94,1.33,0.8,0.96,0.94
d_0,4.11,2.91,1.57,3.42,2.5,3.33,1.45,0.67,1.07,1.37,1.25,1.11,0.93,1.12,1.01,0.98
c_0,1.82,2.72,3.11,5.93,3.53,2.6,1.46,1.21,0.66,1.4,1.11,0.9,0.89,1.04,0.81,1.08
g_1,3.52,3.19,2.61,2.69,2.92,2.72,1.14,1.2,1.06,0.56,0.99,1.01,0.6,0.82,0.87,1.34
b_0,2.39,3.21,3.01,4.08,5.51,2.47,1.45,0.94,0.72,1.34,0.62,1.03,0.82,1.09,1.35,0.81
f_0,3.02,6.94,3.02,2.99,2.95,2.58,1.51,1.41,1.01,1.0,1.04,0.64,0.99,1.22,1.15,0.64
h_0,3.67,3.28,2.81,3.25,3.79,2.92,2.43,1.2,1.2,1.54,1.17,1.12,1.65,1.24,0.92,1.12
a_0,3.21,4.39,3.48,3.25,4.5,4.62,1.67,1.04,1.1,2.26,0.78,1.07,0.88,0.59,1.04,0.91
e_0,3.37,5.63,8.39,3.49,3.1,3.4,1.41,1.42,1.44,1.64,1.11,0.62,1.11,1.17,0.58,0.89
g_0,4.26,4.24,3.4,3.08,4.63,2.94,1.56,1.31,1.24,2.13,1.31,1.48,0.81,1.35,1.25,1.36
