,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.39,0.88,0.79,0.63,0.75,0.62,1.54,1.56,3.11,2.24,1.15,1.72,2.3,1.55,1.48,2.17
f_1,0.79,2.4,1.47,0.74,0.68,0.69,1.56,1.16,1.39,1.6,1.67,0.88,1.72,1.36,0.99,1.53
e_1,0.69,0.92,2.39,1.04,0.77,0.61,1.46,1.3,1.55,1.58,3.16,1.55,2.17,1.3,0.94,1.78
c_1,0.85,0.79,0.71,2.5,1.49,0.66,1.44,1.37,0.98,1.18,1.66,1.82,1.93,1.34,1.32,1.76
b_1,0.88,0.91,0.8,0.76,2.62,1.28,1.44,1.2,1.52,1.15,1.16,1.52,2.09,1.24,1.38,1.94
a_1,0.87,0.89,0.86,0.9,0.63,2.99,1.64,1.5,1.8,2.03,1.81,1.38,2.47,1.27,1.68,1.88
h_1,1.04,1.26,0.81,0.83,0.79,0.72,3.25,1.96,1.71,1.82,1.48,1.68,1.56,1.59,1.43,2.84
g_1,1.45,0.9,0.72,0.81,0.73,0.67,1.56,3.52,2.1,1.75,1.49,2.76,2.6,1.5,1.92,1.56
c_0,1.04,0.97,0.86,0.79,0.61,0.72,1.72,1.57,3.13,3.72,1.91,2.06,2.79,2.25,1.74,2.43
b_0,0.98,1.03,0.93,1.03,0.62,0.52,2.03,1.63,1.82,3.15,2.09,2.02,2.77,2.99,1.78,2.27
d_0,0.5,0.8,0.93,1.8,0.91,0.58,1.83,1.57,1.38,1.67,3.06,2.01,2.24,1.46,1.62,2.05
f_0,1.05,0.8,0.7,1.07,0.87,0.68,1.68,1.75,1.97,2.26,1.87,3.27,2.82,1.64,3.5,2.35
h_0,1.15,1.11,0.82,0.94,0.75,0.63,1.47,2.22,1.81,2.01,1.9,1.96,1.89,1.6,1.99,2.84
a_0,1.12,0.98,0.88,0.99,0.85,0.51,1.89,1.58,1.78,2.03,1.89,2.14,2.89,3.47,1.58,2.64
e_0,1.05,1.04,0.53,1.11,0.98,0.64,1.64,1.82,1.86,2.23,1.47,1.8,3.1,2.02,3.71,2.88
g_0,1.42,0.84,0.78,0.99,0.87,0.71,1.68,1.17,1.82,1.87,1.53,2.8,2.19,1.34,1.68,1.6
