,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.76,1.06,0.98,0.9,1.03,1.03,1.3,1.07,1.01,1.07,1.09,1.02,1.17,1.0,1.28
f_1,1.32,1.0,1.06,0.7,1.07,0.85,0.86,1.16,0.99,1.04,1.0,1.06,0.92,0.86,0.83,0.92
c_1,0.95,0.94,1.0,1.12,1.36,0.85,1.17,0.62,0.76,1.13,1.01,0.84,0.94,0.92,1.02,1.01
d_1,1.02,1.43,0.9,1.0,0.97,0.86,0.96,1.06,1.33,0.79,0.91,0.98,0.99,1.08,0.78,0.77
b_1,1.11,0.94,0.74,1.03,1.0,1.58,1.08,1.13,0.97,0.98,0.85,1.1,0.98,1.01,0.81,1.07
a_1,0.97,1.17,1.18,1.16,0.63,1.0,1.02,0.9,0.89,1.02,0.93,1.32,,1.21,1.25,0.94
h_1,0.97,1.15,0.9,1.05,0.92,0.99,1.0,0.89,0.93,1.2,0.95,0.95,0.88,0.9,1.11,1.28
d_0,0.73,0.91,1.63,0.88,0.89,1.07,1.1,1.0,0.94,0.91,1.04,0.96,0.89,1.14,1.02,0.99
c_0,0.87,1.02,1.14,0.77,1.04,1.18,1.05,1.1,1.0,1.13,1.42,0.99,1.02,1.03,1.3,1.04
g_1,0.97,0.96,0.9,1.28,1.01,0.96,0.84,1.08,0.87,1.0,0.96,1.15,0.83,0.91,0.95,0.97
b_0,0.85,0.99,0.99,1.17,1.18,1.02,1.04,0.94,0.69,1.13,1.0,0.85,1.54,0.93,1.06,1.01
f_0,0.86,1.0,1.18,1.11,0.92,0.8,1.04,1.01,0.97,0.84,1.22,1.0,1.13,0.87,1.48,0.84
a_0,0.97,1.15,1.14,1.0,1.07,,1.04,1.04,1.05,1.22,0.68,0.91,1.0,0.98,0.98,1.17
h_0,0.84,1.17,1.09,0.98,0.96,0.87,1.1,0.86,1.01,1.12,1.11,1.12,1.0,1.0,1.03,1.07
e_0,0.98,1.17,1.05,1.25,1.15,0.75,0.89,1.1,0.87,1.09,0.97,0.7,1.01,1.02,1.0,0.99
g_0,0.74,1.0,0.99,1.29,0.93,1.07,0.79,1.01,0.9,1.03,0.96,1.2,0.87,0.92,1.04,1.0
