,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.52,0.82,0.95,0.98,0.76,0.44,0.51,0.5,0.39,0.39,0.42,0.32,0.42,0.64,0.33
f_1,0.87,0.41,0.64,0.87,0.88,0.76,0.33,0.4,0.47,0.34,0.34,0.53,0.24,0.35,0.3,0.35
d_1,0.95,0.88,0.39,0.89,0.71,0.7,0.43,0.51,0.29,0.38,0.34,0.38,0.32,0.32,0.34,0.21
c_1,0.66,0.85,0.97,0.38,0.93,0.73,0.44,0.22,0.56,0.44,0.38,0.37,0.3,0.35,0.35,0.29
b_1,0.77,0.9,1.04,0.47,0.37,1.21,0.48,0.34,0.43,0.51,0.66,0.33,0.29,0.39,0.31,0.32
a_1,0.95,0.9,0.88,0.9,0.44,0.31,0.54,0.4,0.43,0.36,0.41,0.34,0.35,0.52,0.47,0.34
h_1,0.73,0.81,0.7,0.74,0.66,0.61,0.24,0.37,0.42,0.3,0.32,0.32,0.37,0.3,0.28,0.33
d_0,0.46,0.79,0.9,0.9,0.81,0.68,0.38,0.26,0.48,0.28,0.31,0.32,0.31,0.29,0.33,0.32
g_1,0.68,0.79,0.9,0.7,0.71,0.66,0.31,0.35,0.22,0.35,0.31,0.35,0.24,0.34,0.3,0.31
c_0,0.72,0.72,0.46,1.33,0.69,0.79,0.45,0.47,0.38,0.24,0.38,0.34,0.3,0.36,0.32,0.29
b_0,0.66,0.77,0.62,0.91,1.01,0.64,0.39,0.35,0.43,0.2,0.23,0.3,0.33,0.32,0.31,0.29
f_0,0.69,0.92,0.77,0.73,0.67,0.64,0.43,0.38,0.28,0.32,0.32,0.22,0.32,0.32,0.34,0.22
h_0,0.69,0.86,0.7,0.72,0.72,0.61,0.48,0.31,0.42,0.32,0.28,0.29,0.36,0.25,0.26,0.29
a_0,0.58,0.79,0.75,0.8,0.85,0.99,0.44,0.35,0.37,0.28,0.22,0.32,0.34,0.2,0.31,0.26
e_0,0.81,0.87,0.68,0.75,0.77,0.63,0.42,0.33,0.35,0.32,0.29,0.19,0.28,0.32,0.2,0.28
g_0,0.73,0.76,0.77,0.79,0.65,0.65,0.28,0.31,0.51,0.28,0.28,0.36,0.23,0.3,0.27,0.35
