,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.79,1.1,1.51,2.25,4.72,18.73,48.85,37.98,38.5,56.69,50.95,96.8,108.25,111.87,165.32
f_1,1.27,1.0,1.18,1.45,2.58,3.68,16.69,28.62,35.25,42.31,37.29,38.85,73.79,71.83,107.36,72.38
d_1,0.91,0.85,1.0,0.97,1.74,3.18,13.83,24.15,21.04,43.48,35.5,37.15,63.95,66.65,63.65,89.22
c_1,0.66,0.69,1.03,1.0,2.35,2.29,11.75,14.08,26.04,20.84,30.69,28.11,48.53,58.26,53.99,70.11
b_1,0.44,0.39,0.57,0.43,1.0,2.42,7.77,9.79,16.94,12.99,29.08,22.34,33.08,47.23,42.15,55.76
a_1,0.21,0.27,0.31,0.44,0.41,1.0,4.94,7.75,9.39,9.7,13.61,11.81,22.27,23.29,38.2,27.91
h_1,0.05,0.06,0.07,0.09,0.13,0.2,1.0,1.48,2.39,2.36,2.64,2.72,4.18,4.19,6.38,7.05
d_0,0.02,0.04,0.04,0.07,0.1,0.13,0.67,1.0,1.23,1.05,1.51,1.44,2.23,2.7,3.29,3.92
g_1,0.03,0.03,0.05,0.04,0.06,0.11,0.42,0.78,1.0,1.18,1.28,1.88,2.37,1.9,3.94,3.52
c_0,0.03,0.02,0.02,0.05,0.08,0.09,0.44,0.93,0.84,1.0,1.64,1.33,1.88,2.59,3.14,2.76
b_0,0.02,0.03,0.03,0.03,,0.07,0.38,0.7,0.79,0.58,1.0,0.94,2.13,1.85,2.21,2.76
f_0,0.02,0.03,0.03,0.03,0.05,0.08,0.36,0.71,0.53,0.73,0.99,1.0,1.84,1.95,2.0,3.78
a_0,0.01,0.01,0.02,0.02,0.03,,0.23,0.48,0.44,0.55,0.45,0.54,1.0,1.23,1.35,1.63
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.38,0.52,0.38,0.52,0.49,0.83,1.0,1.53,1.15
g_0,0.01,0.01,0.02,0.02,0.02,0.03,0.16,0.29,,0.3,0.46,0.51,0.74,0.67,1.0,0.93
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.26,0.28,0.37,0.37,0.27,0.64,0.86,1.02,1.0
