,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.25,0.89,0.88,0.91,0.6,0.4,0.45,0.39,0.42,0.35,0.38,0.3,0.34,0.3,0.24
e_1,0.8,1.0,0.97,1.17,0.88,0.76,0.56,0.46,0.42,0.57,0.43,0.45,0.36,0.35,0.36,0.38
d_1,1.12,1.02,1.0,0.81,0.86,0.76,0.46,0.4,0.58,0.44,0.44,0.39,0.34,0.31,0.27,0.3
c_1,1.11,0.86,1.19,1.0,1.3,0.72,0.51,0.45,0.41,0.31,0.35,0.4,0.37,0.31,0.35,0.32
b_1,1.14,1.13,1.15,0.79,1.0,1.16,0.62,0.5,0.54,0.45,0.43,0.41,0.42,0.32,0.35,0.35
a_1,1.69,1.31,1.33,1.36,0.86,1.0,0.68,0.65,0.51,0.61,0.64,0.48,0.5,0.48,0.42,0.48
h_1,2.5,1.79,2.22,1.96,1.6,1.39,1.0,1.09,0.86,0.83,0.89,0.72,0.7,0.66,0.73,0.67
g_1,2.26,2.16,2.56,2.16,1.99,1.52,0.89,1.0,0.95,0.75,0.88,1.05,0.63,0.71,0.67,0.66
c_0,2.65,2.23,1.75,2.54,1.92,1.9,1.17,1.04,1.0,1.12,1.29,0.97,0.85,0.9,0.8,0.74
d_0,2.32,1.73,2.38,3.22,2.22,1.7,1.12,1.26,0.82,1.0,0.96,0.88,0.78,0.79,0.8,0.84
b_0,2.92,2.23,2.22,2.8,2.44,1.56,1.2,1.11,0.81,1.05,1.0,0.94,0.91,1.15,0.85,0.83
f_0,2.84,2.2,2.56,2.47,2.38,1.91,1.43,1.0,1.06,1.13,1.06,1.0,0.89,0.83,0.72,1.17
h_0,3.34,2.76,2.9,2.71,2.34,2.0,1.42,1.56,1.15,1.28,1.08,1.14,1.0,0.97,1.06,0.78
a_0,3.01,2.8,3.37,3.04,2.98,2.0,1.55,1.44,1.19,1.26,0.91,1.17,1.02,1.0,1.04,0.95
g_0,3.34,2.74,3.68,2.96,2.68,2.37,1.39,1.52,1.25,1.22,1.2,1.4,0.95,1.0,1.0,1.12
e_0,4.0,2.81,3.16,3.12,2.78,2.07,1.45,1.47,1.4,1.09,1.22,0.85,1.27,1.11,0.9,1.0
