,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,15.78,0.55,0.43,0.76,0.52,0.51,0.89,2.27,0.88,0.72,0.96,0.91,0.98,0.59,1.03,0.96
f_1,1.04,16.78,0.49,0.51,0.52,0.47,0.77,0.7,0.66,0.79,1.02,0.29,0.89,0.72,1.04,0.71
d_1,0.46,0.54,20.99,0.42,0.47,0.45,0.91,0.37,0.96,2.31,1.21,1.13,1.02,1.18,0.93,0.91
c_1,0.39,0.55,0.52,20.4,1.15,0.55,0.89,0.63,0.86,0.24,0.77,0.88,0.91,0.74,0.82,1.04
b_1,0.52,0.46,0.52,0.47,22.1,1.26,0.87,0.84,0.85,0.62,0.26,1.05,1.1,0.79,0.64,1.05
a_1,0.41,0.71,0.61,0.52,0.44,34.27,0.98,0.94,0.8,1.29,0.95,0.95,0.93,1.01,0.28,1.08
h_1,0.61,1.04,0.7,0.71,0.7,0.58,5.58,1.0,1.49,1.02,1.03,0.96,0.63,1.17,1.01,1.42
d_0,0.63,0.63,0.29,1.93,0.7,0.68,1.0,3.33,0.99,0.9,1.02,1.46,1.17,1.15,1.2,1.26
g_1,0.58,0.46,1.46,0.49,0.58,0.73,0.91,0.91,7.12,1.12,1.03,2.45,1.18,1.38,1.6,0.64
c_0,0.74,0.82,1.03,0.32,0.59,0.52,1.26,0.8,1.13,3.69,2.99,1.22,1.32,1.49,1.45,1.14
b_0,0.99,0.73,0.94,0.6,0.17,0.52,1.03,1.26,1.12,1.28,4.06,1.28,1.4,1.51,3.6,1.09
f_0,0.71,0.43,0.88,0.63,0.58,0.67,1.52,1.25,1.49,1.43,1.31,4.17,1.4,3.31,0.87,1.5
h_0,0.72,1.04,0.9,0.71,0.48,0.62,0.54,1.13,1.65,1.23,1.35,1.19,0.62,1.37,1.1,1.9
e_0,0.3,1.06,0.7,0.79,0.53,0.59,1.42,1.3,1.01,1.53,1.24,1.79,1.17,5.88,1.16,1.44
a_0,0.69,0.82,0.97,0.76,0.44,0.25,1.15,1.08,1.62,1.21,1.38,1.13,1.52,1.66,5.6,1.29
g_0,0.55,0.55,1.39,0.95,0.71,0.56,1.14,0.83,0.71,1.17,1.01,2.2,1.07,1.41,1.14,0.78
