,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,0.88,0.78,0.83,0.77,0.71,0.35,0.51,0.33,0.33,0.33,0.46,0.23,0.31,0.31,0.34
e_1,0.54,0.42,0.81,0.97,0.94,0.91,0.46,0.47,0.38,0.47,0.37,0.46,0.32,0.42,0.63,0.36
d_1,0.83,0.94,0.39,0.75,0.85,0.77,0.49,0.3,0.38,0.57,0.34,0.35,0.29,0.32,0.3,0.21
c_1,0.83,0.65,0.95,0.38,0.86,0.81,0.4,0.49,0.45,0.22,0.36,0.4,0.34,0.34,0.4,0.29
b_1,0.94,0.76,0.85,0.54,0.36,0.95,0.48,0.44,0.45,0.36,0.62,0.38,0.31,0.34,0.41,0.32
a_1,0.97,0.87,0.77,0.79,0.5,0.3,0.52,0.45,0.42,0.47,0.47,0.31,0.34,0.66,0.4,0.38
h_1,0.78,0.72,0.68,0.76,0.65,0.59,0.24,0.52,0.32,0.3,0.31,0.3,0.45,0.33,0.32,0.3
g_1,0.71,0.87,0.73,0.67,0.74,0.63,0.27,0.22,0.33,0.33,0.33,0.38,0.25,0.35,0.28,0.34
c_0,0.86,0.78,0.47,0.95,0.7,0.71,0.39,0.33,0.25,0.48,0.42,0.39,0.32,0.35,0.38,0.29
d_0,0.76,0.45,1.06,0.94,0.76,0.63,0.43,0.66,0.3,0.25,0.36,0.29,0.33,0.32,0.3,0.28
b_0,0.87,0.76,0.66,0.91,0.76,0.63,0.38,0.33,0.19,0.33,0.23,0.29,0.28,0.37,0.33,0.26
f_0,0.98,0.68,0.64,0.67,0.72,0.69,0.43,0.25,0.28,0.4,0.35,0.21,0.3,0.38,0.35,0.2
h_0,0.84,0.68,0.75,0.69,0.66,0.71,0.4,0.4,0.28,0.3,0.32,0.27,0.34,0.28,0.32,0.27
a_0,0.83,0.63,0.72,0.8,0.9,0.77,0.38,0.38,0.28,0.32,0.21,0.31,0.28,0.2,0.27,0.26
e_0,1.02,0.77,0.77,0.61,0.73,0.59,0.33,0.36,0.29,0.33,0.29,0.17,0.27,0.42,0.18,0.23
g_0,0.7,0.67,0.75,0.78,0.81,0.65,0.33,0.39,0.3,0.35,0.31,0.37,0.25,0.3,0.34,0.34
