,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.42,0.73,0.79,0.84,0.73,0.65,1.45,2.9,1.65,1.46,1.52,1.62,2.2,1.56,2.31,0.67
f_1,1.12,2.48,0.71,0.7,0.72,0.78,1.35,1.52,1.85,1.5,1.75,0.9,1.86,1.96,2.39,1.84
d_1,0.73,0.92,2.49,0.82,0.63,0.68,1.7,0.9,2.63,1.12,2.01,1.95,1.95,1.71,1.72,1.56
c_1,0.75,0.84,0.63,2.57,1.29,0.76,1.45,1.55,0.41,1.49,1.21,1.74,2.42,1.22,2.15,1.93
b_1,0.82,0.77,0.91,0.62,2.69,1.21,1.46,1.52,1.75,1.39,0.63,1.57,2.15,1.64,2.01,1.67
a_1,0.79,0.66,0.9,0.83,0.68,3.24,1.65,1.48,1.65,1.54,2.21,1.97,1.98,0.84,2.18,1.67
h_1,0.89,1.29,1.06,0.99,0.97,0.98,3.86,2.39,1.99,2.6,2.42,1.97,1.58,2.18,3.18,2.42
d_0,0.75,1.09,0.55,1.69,1.1,1.14,1.83,3.59,1.82,2.24,2.47,2.33,3.11,1.76,2.04,2.67
c_0,0.94,1.03,0.92,0.97,0.89,1.11,2.22,2.38,3.66,2.34,3.89,2.51,2.46,2.94,2.81,2.42
g_1,0.98,1.02,1.4,1.01,0.88,0.74,1.71,2.13,2.01,4.24,2.16,3.25,2.08,1.84,1.57,2.56
b_0,1.16,1.14,0.98,1.28,0.79,0.74,1.73,2.09,1.9,2.13,3.87,2.38,3.56,3.98,2.58,2.59
f_0,0.95,0.71,1.12,1.02,1.14,1.01,2.48,2.21,2.18,1.57,2.31,4.18,3.12,2.45,2.62,4.11
h_0,0.96,1.45,1.09,0.98,0.89,0.97,1.32,1.94,2.43,2.48,1.71,2.24,1.77,2.28,3.45,1.98
a_0,1.07,0.9,1.02,1.16,1.06,0.6,2.16,2.34,2.26,2.44,2.25,2.41,3.06,4.84,3.12,2.57
g_0,0.87,0.79,1.7,1.04,1.0,0.88,1.7,2.23,2.25,1.37,2.35,3.15,2.37,2.11,1.45,2.21
e_0,0.61,1.07,1.23,1.03,1.03,1.3,1.89,1.48,2.16,2.03,2.37,2.02,3.38,2.56,3.22,4.89
