,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.4,2.42,1.72,1.65,1.38,1.48,2.92,3.21,3.86,3.58,3.56,2.87,4.0,3.66,4.28,3.11
e_1,1.56,2.48,2.03,1.57,1.84,1.7,3.25,3.2,5.34,3.66,3.68,3.74,4.72,3.76,4.71,3.45
c_1,1.66,1.44,2.54,1.62,2.55,1.77,3.39,3.26,2.93,2.69,2.75,3.65,4.17,3.44,4.49,3.74
d_1,1.79,1.74,1.44,2.62,1.56,1.68,3.22,3.24,3.04,5.45,4.29,3.88,4.66,3.86,4.35,4.05
b_1,1.9,1.46,1.57,1.64,2.82,2.68,3.44,3.24,3.35,3.63,3.29,3.56,4.51,3.06,4.79,3.23
a_1,1.92,1.61,1.68,1.6,1.48,3.38,3.49,3.28,3.83,3.5,3.58,3.59,5.05,3.46,4.84,3.16
h_1,2.1,1.67,1.57,1.88,1.55,1.6,4.38,3.53,3.46,3.59,4.02,3.27,4.37,3.58,5.38,3.62
g_1,1.61,1.65,1.6,2.21,1.61,1.71,3.32,4.68,3.47,3.83,4.18,4.76,4.57,4.27,4.46,4.58
d_0,1.6,1.41,2.63,1.49,1.97,1.48,3.45,3.71,4.42,2.77,3.55,4.04,4.68,4.04,4.59,4.38
c_0,1.79,1.79,1.78,1.71,1.36,1.76,3.25,3.51,4.25,4.69,6.03,4.06,5.36,5.2,5.45,4.75
b_0,1.83,1.76,1.83,1.92,1.32,1.74,3.39,3.45,3.52,3.45,4.97,3.75,4.76,6.35,5.03,4.37
f_0,1.74,1.48,1.73,1.94,1.69,1.59,3.62,3.48,3.77,4.17,4.38,5.1,5.33,4.34,4.66,7.02
h_0,1.99,1.65,1.77,1.84,1.71,1.53,3.01,4.11,3.52,3.69,3.94,3.61,4.04,3.94,5.2,3.87
a_0,1.8,1.76,1.86,1.92,1.65,1.26,3.56,3.53,3.27,3.17,3.45,4.06,4.62,5.48,4.67,4.69
g_0,1.74,1.57,1.67,2.28,1.61,1.55,3.16,3.22,2.97,3.59,4.13,4.98,4.54,4.06,4.26,4.85
e_0,1.79,1.42,1.8,1.79,2.03,1.83,3.59,3.49,3.64,3.33,4.57,3.4,5.06,3.79,4.51,6.05
