,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,10.5,1.74,0.66,0.67,0.56,0.68,0.86,0.81,0.75,0.97,0.97,0.64,0.93,0.91,0.61,0.91
e_1,0.71,11.41,0.5,0.94,0.72,0.67,1.1,0.84,0.78,2.72,1.06,0.98,0.94,0.95,0.77,0.86
d_1,0.83,0.61,12.41,0.53,0.61,0.77,1.02,1.03,2.54,0.59,1.44,1.28,1.12,1.06,1.11,1.05
c_1,0.57,0.66,0.65,12.25,2.2,0.66,0.74,0.67,0.48,0.81,0.54,0.81,0.87,0.82,0.86,0.85
b_1,0.74,0.51,0.69,0.74,11.88,1.58,0.8,0.92,0.93,0.81,0.61,0.91,0.73,1.15,1.02,1.05
a_1,0.76,0.69,0.87,0.77,0.55,16.59,1.14,1.07,1.17,0.83,1.0,0.99,0.71,1.24,1.2,1.15
h_1,1.18,0.75,1.19,0.7,0.61,0.58,3.35,1.58,1.07,0.9,1.15,1.02,1.07,0.7,1.03,1.63
g_1,0.75,0.57,1.7,0.74,0.67,0.67,0.86,4.55,0.91,0.65,0.97,1.9,1.09,1.05,1.44,0.84
c_0,0.85,0.72,1.21,0.62,0.48,0.74,1.3,1.28,2.44,1.03,3.2,1.33,1.67,1.11,1.31,1.27
d_0,0.71,0.75,0.53,2.43,0.96,0.63,1.1,1.02,0.57,2.03,0.81,0.95,1.03,0.92,0.95,0.97
b_0,0.99,0.91,1.07,0.78,0.42,0.47,1.11,1.37,1.09,0.95,2.71,1.26,3.56,1.44,1.16,0.98
f_0,0.65,0.59,1.03,0.92,0.74,0.74,1.13,1.33,1.25,0.89,1.19,2.47,1.17,1.24,3.06,1.02
a_0,1.01,0.66,1.01,0.77,0.8,0.46,1.57,1.24,1.04,0.92,1.23,1.24,2.8,1.35,1.29,1.1
h_0,1.39,0.73,1.04,0.69,0.57,0.86,0.67,1.82,0.96,0.81,1.07,0.96,0.94,0.7,1.05,1.46
e_0,1.03,0.35,1.2,0.91,0.67,0.95,1.29,1.22,1.02,0.93,1.16,1.0,1.12,1.03,3.49,1.35
g_0,0.62,0.59,2.07,0.79,0.69,0.75,1.11,1.01,1.15,0.64,1.15,1.9,1.21,0.94,1.34,0.9
