,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,0.96,0.83,0.98,0.96,0.78,0.34,0.35,0.44,0.32,0.32,0.33,0.22,0.27,0.27,0.28
e_1,0.72,0.65,0.89,1.05,0.89,0.84,0.46,0.43,0.43,0.37,0.32,0.41,0.3,0.34,0.4,0.31
d_1,1.13,1.09,0.64,0.95,0.84,0.81,0.4,0.46,0.3,0.38,0.33,0.28,0.28,0.3,0.3,0.2
c_1,0.96,0.86,1.28,0.63,1.07,0.86,0.47,0.25,0.44,0.42,0.34,0.35,0.29,0.32,0.35,0.3
b_1,1.06,1.13,1.18,0.72,0.61,1.14,0.52,0.35,0.46,0.44,0.44,0.35,0.31,0.34,0.32,0.29
a_1,1.34,1.23,1.22,1.24,0.69,0.57,0.61,0.5,0.56,0.47,0.64,0.44,0.36,0.59,0.47,0.35
h_1,1.68,1.45,1.52,1.52,1.44,1.26,0.54,0.59,0.77,0.56,0.51,0.5,0.49,0.48,0.52,0.46
d_0,1.65,1.18,1.86,1.96,1.91,1.54,0.8,0.55,0.79,0.61,0.57,0.63,0.52,0.6,0.62,0.54
g_1,1.76,1.69,1.79,1.73,1.53,1.37,0.61,0.7,0.52,0.58,0.61,0.58,0.43,0.56,0.57,0.48
c_0,1.96,1.78,1.25,2.13,1.8,1.45,0.81,0.85,0.76,0.53,0.67,0.59,0.51,0.57,0.56,0.49
b_0,2.08,1.85,1.64,2.22,2.36,1.4,0.89,0.75,0.79,0.47,0.53,0.65,0.53,0.68,0.57,0.5
f_0,2.58,1.84,2.08,2.2,1.79,1.45,0.96,0.73,0.63,0.72,0.69,0.52,0.56,0.62,0.68,0.41
h_0,2.49,2.07,1.93,1.95,1.99,1.64,1.05,0.79,0.92,0.74,0.69,0.61,0.64,0.64,0.68,0.56
a_0,2.48,2.11,1.85,2.18,2.28,1.83,1.06,0.86,0.86,0.69,0.49,0.69,0.62,0.52,0.74,0.52
e_0,2.75,2.2,2.02,2.23,2.12,1.65,0.92,0.75,0.83,0.73,0.75,0.47,0.58,0.7,0.51,0.63
g_0,2.35,2.19,2.38,2.26,2.13,1.86,0.87,0.85,1.17,0.81,0.81,0.79,0.6,0.82,0.68,0.64
