,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.89,0.19,0.16,0.21,0.18,0.09,0.15,0.12,0.3,0.18,0.17,0.16,0.16,0.05,0.14,0.1
f_1,0.36,0.89,0.17,0.15,0.15,0.07,0.17,0.11,0.13,0.15,0.06,0.15,0.17,0.08,0.11,0.1
d_1,0.18,0.23,0.89,0.14,0.15,0.1,0.17,0.14,0.08,0.3,0.15,0.19,0.15,0.11,0.18,0.11
c_1,0.14,0.18,0.16,0.89,0.28,0.12,0.15,0.13,0.18,0.04,0.16,0.1,0.16,0.11,0.12,0.09
b_1,0.18,0.19,0.2,0.18,0.88,0.2,0.13,0.13,0.16,0.14,0.11,0.05,0.18,0.1,0.11,0.07
a_1,0.18,0.19,0.19,0.18,0.16,0.88,0.18,0.15,0.16,0.17,0.18,0.15,0.14,0.09,0.15,0.06
h_1,0.23,0.29,0.24,0.23,0.17,0.13,0.55,0.2,0.17,0.2,0.16,0.17,0.1,0.1,0.23,0.11
g_1,0.18,0.15,0.35,0.26,0.19,0.1,0.2,0.56,0.16,0.18,0.3,0.19,0.21,0.13,0.1,0.11
d_0,0.22,0.22,0.08,0.47,0.19,0.14,0.19,0.19,0.41,0.15,0.2,0.13,0.2,0.11,0.15,0.11
c_0,0.25,0.23,0.27,0.14,0.15,0.1,0.23,0.2,0.2,0.41,0.24,0.36,0.23,0.14,0.17,0.16
f_0,0.18,0.12,0.26,0.27,0.19,0.14,0.19,0.17,0.22,0.2,0.44,0.18,0.17,0.31,0.18,0.13
b_0,0.24,0.22,0.24,0.24,0.1,0.14,0.2,0.18,0.19,0.21,0.21,0.42,0.24,0.14,0.21,0.27
h_0,0.24,0.32,0.22,0.23,0.18,0.11,0.11,0.25,0.19,0.17,0.19,0.15,0.13,0.12,0.23,0.12
e_0,0.12,0.24,0.24,0.28,0.18,0.16,0.24,0.2,0.24,0.22,0.17,0.15,0.23,0.43,0.15,0.13
g_0,0.19,0.21,0.36,0.23,0.17,0.14,0.2,0.14,0.17,0.19,0.31,0.18,0.17,0.13,0.12,0.1
a_0,0.21,0.26,0.27,0.26,0.12,0.08,0.23,0.23,0.18,0.2,0.18,0.21,0.24,0.16,0.17,0.37
