,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.82,0.95,0.92,0.62,0.41,0.4,0.45,0.35,0.38,0.29,0.26,0.25,0.25,0.3
e_1,0.87,1.0,0.89,1.06,0.77,0.75,0.55,0.6,0.46,0.45,0.34,0.41,0.35,0.34,0.42,0.33
d_1,1.22,1.09,1.0,0.82,0.81,0.72,0.49,0.48,0.36,0.59,0.4,0.33,0.38,0.34,0.35,0.24
c_1,1.04,0.94,1.24,1.0,1.24,0.69,0.54,0.34,0.44,0.36,0.37,0.37,0.37,0.32,0.33,0.3
b_1,1.09,1.31,1.23,0.81,1.0,1.3,0.63,0.5,0.48,0.48,0.45,0.35,0.34,0.3,0.27,0.33
a_1,1.61,1.31,1.39,1.47,0.76,1.0,0.73,0.6,0.63,0.6,0.63,0.59,0.46,0.58,0.53,0.48
h_1,2.43,1.84,2.01,1.88,1.63,1.33,1.0,0.89,1.17,0.8,0.74,0.69,0.7,0.61,0.66,0.65
d_0,2.4,1.64,2.06,2.93,2.12,1.55,1.15,1.0,0.96,0.89,0.76,0.88,0.76,0.71,0.74,0.78
g_1,2.26,2.19,2.8,2.28,2.09,1.48,0.86,1.03,1.0,0.79,0.9,1.0,0.67,0.81,0.68,0.62
c_0,2.72,2.19,1.71,2.64,2.07,1.67,1.29,1.14,1.29,1.0,1.26,0.9,0.83,0.84,0.75,0.75
b_0,2.73,2.82,2.54,2.8,2.35,1.48,1.41,1.24,1.13,0.78,1.0,0.99,0.8,1.25,0.89,0.72
f_0,3.1,2.54,3.06,2.79,2.87,1.73,1.42,1.13,1.0,1.15,1.08,1.0,0.98,0.89,1.23,0.66
h_0,3.72,2.85,2.63,2.79,2.85,2.12,1.43,1.3,1.52,1.2,1.16,0.96,1.0,0.96,0.95,1.03
a_0,3.81,3.02,2.84,3.05,3.23,1.6,1.7,1.45,1.32,1.23,0.85,1.04,1.02,1.0,1.11,0.85
e_0,3.89,2.61,3.01,3.01,3.53,2.07,1.58,1.36,1.44,1.24,1.11,0.78,1.0,0.93,1.0,1.12
g_0,3.28,2.96,4.22,3.57,2.87,2.11,1.51,1.28,1.6,1.31,1.27,1.49,1.0,1.16,0.96,1.0
