,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,2.15,3.76,3.4,3.55,3.35,1.75,2.5,2.21,1.52,1.76,1.64,1.35,1.8,,1.32
f_1,4.46,0.41,2.67,3.5,4.28,4.57,1.33,1.91,2.16,1.64,1.52,,0.93,1.58,1.73,1.48
d_1,4.28,3.93,0.39,4.51,3.13,3.4,2.36,,1.32,1.58,1.37,1.89,1.37,1.2,1.82,0.87
c_1,3.79,4.08,4.31,0.39,3.3,3.26,2.17,0.94,2.32,,2.16,1.63,1.17,2.2,1.53,1.24
b_1,4.58,3.48,4.78,2.29,0.37,5.5,1.39,1.42,2.11,2.63,,1.41,1.27,1.92,,1.12
a_1,3.96,3.05,3.4,4.22,2.17,0.31,2.08,1.56,2.1,1.38,2.08,1.45,1.84,,,1.49
h_1,1.79,2.03,1.44,1.69,2.64,1.63,0.26,0.88,0.83,0.71,0.86,0.76,,0.67,0.88,0.83
d_0,0.92,1.8,,1.76,2.01,1.99,0.81,0.29,0.9,0.63,0.76,0.75,0.6,0.7,0.66,0.7
g_1,1.94,1.78,2.11,1.97,1.62,1.5,1.0,0.94,0.23,0.94,0.63,0.85,0.56,1.07,0.78,
c_0,1.45,1.41,1.27,,1.53,2.17,1.11,0.9,0.76,0.27,0.93,0.64,0.61,0.77,0.53,0.48
b_0,1.76,1.86,1.64,1.62,,1.32,0.77,0.64,1.18,0.45,0.26,0.91,0.63,0.67,0.88,0.57
f_0,1.7,,1.45,1.77,1.33,1.71,1.02,0.75,0.6,0.69,0.65,0.26,0.69,0.65,0.78,0.54
h_0,1.14,1.5,1.33,1.36,1.16,0.95,,0.54,0.67,0.79,0.59,0.53,,0.47,0.45,0.78
a_0,1.36,2.07,2.04,1.5,1.68,,1.07,0.7,0.68,0.73,0.51,0.82,0.72,0.22,,0.59
e_0,,1.56,1.22,1.39,,,0.75,0.64,0.9,0.99,0.75,0.42,0.71,,0.22,0.56
g_0,1.78,1.37,1.61,1.29,1.24,1.24,0.5,0.56,,0.6,0.5,0.8,0.37,0.74,0.5,
