,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.41,0.43,0.57,0.67,0.62,0.61,0.33,0.34,0.33,0.27,0.33,0.28,0.24,0.27,0.33,0.24
f_1,0.63,0.41,0.6,0.59,0.57,0.5,0.28,0.31,0.27,0.26,0.29,0.28,0.19,0.25,0.21,0.27
d_1,0.63,0.64,0.39,0.58,0.59,0.55,0.29,0.24,0.31,0.29,0.26,0.26,0.21,0.25,0.25,0.16
c_1,0.5,0.62,0.69,0.37,0.67,0.54,0.32,0.34,0.19,0.29,0.24,0.25,0.22,0.26,0.27,0.21
b_1,0.57,0.63,0.62,0.42,0.36,0.65,0.36,0.35,0.26,0.32,0.31,0.32,0.24,0.29,0.27,0.26
a_1,0.61,0.7,0.6,0.6,0.37,0.29,0.36,0.33,0.29,0.29,0.27,0.33,0.22,0.29,0.27,0.25
h_1,0.56,0.61,0.62,0.56,0.5,0.47,0.23,0.33,0.25,0.25,0.26,0.26,0.26,0.24,0.23,0.23
g_1,0.56,0.62,0.59,0.56,0.5,0.59,0.25,0.21,0.25,0.25,0.27,0.23,0.19,0.25,0.25,0.22
d_0,0.4,0.57,0.63,0.71,0.59,0.57,0.34,0.35,0.23,0.25,0.27,0.26,0.23,0.25,0.28,0.26
c_0,0.6,0.65,0.41,0.7,0.56,0.53,0.32,0.29,0.31,0.22,0.27,0.33,0.24,0.27,0.27,0.21
f_0,0.53,0.71,0.56,0.62,0.54,0.54,0.3,0.24,0.25,0.24,0.21,0.24,0.22,0.25,0.32,0.18
b_0,0.56,0.6,0.49,0.69,0.66,0.52,0.31,0.31,0.26,0.17,0.25,0.2,0.24,0.31,0.24,0.2
h_0,0.53,0.61,0.57,0.59,0.54,0.54,0.34,0.32,0.25,0.24,0.24,0.22,0.23,0.22,0.25,0.21
a_0,0.52,0.67,0.55,0.56,0.61,0.56,0.31,0.28,0.23,0.21,0.23,0.17,0.24,0.19,0.24,0.2
e_0,0.62,0.68,0.55,0.54,0.56,0.5,0.29,0.26,0.25,0.24,0.15,0.23,0.22,0.24,0.18,0.22
g_0,0.59,0.56,0.62,0.62,0.5,0.51,0.28,0.32,0.24,0.24,0.26,0.26,0.18,0.26,0.22,0.23
