,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.91,0.73,0.53,0.45,0.54,0.64,1.0,0.4,1.69,0.83,1.19,1.07,0.91,1.11,1.07,0.92
f_1,0.54,2.83,1.14,0.63,0.48,0.54,0.9,0.85,0.92,0.74,0.93,0.33,1.01,0.74,0.54,0.78
e_1,0.54,0.67,3.02,0.7,0.61,0.54,0.74,1.76,0.86,0.87,0.86,0.93,1.06,0.97,0.43,1.0
c_1,0.67,0.51,0.56,3.15,1.17,0.38,0.86,0.89,0.34,0.86,0.7,0.95,0.9,0.98,1.01,1.05
b_1,0.63,0.57,0.53,0.67,3.54,1.16,0.93,1.01,0.66,0.88,0.41,0.95,0.79,0.59,1.07,0.75
a_1,0.65,0.83,0.56,0.62,0.4,4.75,0.88,0.8,0.85,0.92,0.96,0.95,1.08,0.49,0.85,1.06
h_1,0.81,1.04,0.64,0.76,0.68,0.71,2.99,0.94,1.11,1.3,1.06,1.13,0.66,1.06,1.31,1.37
d_0,0.27,0.66,0.67,1.46,0.81,0.91,1.04,2.24,0.87,1.01,1.28,1.02,1.23,1.19,0.99,1.33
c_0,0.92,0.77,0.75,0.47,0.63,0.76,1.31,1.09,2.27,1.2,2.22,1.39,1.18,1.58,1.23,1.2
g_1,1.2,0.63,0.54,0.77,0.8,0.65,0.97,0.9,1.04,3.7,1.1,1.99,1.19,0.87,1.31,0.87
b_0,0.8,0.83,0.72,0.83,0.33,0.53,1.36,1.02,1.26,1.27,2.79,1.28,1.48,2.53,1.49,1.37
f_0,1.03,0.39,0.63,0.84,0.86,0.52,1.01,0.91,1.4,1.29,1.26,2.79,1.39,1.17,2.94,1.14
h_0,0.77,1.03,0.61,0.73,0.74,0.81,0.63,1.06,1.2,1.66,1.3,1.2,0.64,1.32,1.19,1.7
a_0,0.93,0.78,0.75,0.84,0.58,0.3,1.36,1.15,1.19,1.13,1.41,1.01,1.32,3.65,1.34,1.23
e_0,0.83,0.79,0.55,0.73,0.94,0.58,1.09,1.11,1.54,1.16,1.06,1.41,1.56,1.42,3.7,1.59
g_0,1.34,0.68,0.51,0.74,0.84,0.79,0.95,0.82,1.13,0.82,1.25,1.89,1.11,1.14,1.5,1.02
