,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.18,7.42,13.14,9.87,12.59,20.24,3.71,3.24,4.29,2.25,2.54,2.77,3.09,2.1,1.87,
f_1,14.14,0.18,11.85,12.45,16.09,17.67,3.05,2.79,3.09,2.99,2.04,,3.06,1.13,2.11,1.67
d_1,22.45,12.4,0.16,11.03,12.67,16.63,2.95,,1.96,3.26,2.43,2.35,3.31,1.84,1.07,2.39
c_1,17.98,12.45,15.22,0.15,13.32,12.43,3.95,1.22,3.84,,2.91,2.34,2.53,1.97,1.81,2.47
b_1,19.52,12.46,14.88,6.95,0.12,14.83,3.17,1.94,4.09,2.27,,2.68,,3.75,1.46,2.6
a_1,12.65,16.69,12.1,16.58,9.18,0.09,3.4,2.86,3.64,2.39,3.37,2.08,,1.23,2.68,
h_1,3.81,2.75,2.88,3.82,2.55,3.11,0.08,0.7,1.01,0.88,0.65,0.69,0.57,,0.41,0.79
d_0,1.41,3.03,,2.37,3.5,2.27,0.96,0.08,0.97,0.43,0.61,0.59,0.38,0.3,0.46,0.39
g_1,3.96,3.78,3.35,2.81,2.97,2.99,0.67,0.64,0.05,0.77,0.83,1.14,,0.32,,0.87
c_0,2.06,2.17,1.41,,4.09,3.18,0.58,0.54,0.74,0.08,0.52,0.58,0.59,0.38,0.49,0.45
b_0,1.89,3.38,2.78,3.03,,3.66,0.7,0.57,0.65,0.37,0.07,0.67,0.61,0.35,0.25,0.69
f_0,2.77,,2.42,2.9,2.44,3.12,0.69,0.63,0.4,0.41,0.64,0.07,0.61,0.45,0.21,0.55
a_0,2.43,3.06,2.59,2.79,,,0.59,0.64,,0.76,0.31,0.35,0.05,0.36,0.55,
h_0,1.48,1.61,2.03,1.9,1.47,1.0,,0.32,0.68,0.27,0.38,0.33,0.31,,0.26,0.38
g_0,1.81,1.85,2.09,3.49,2.37,1.05,0.5,0.4,,0.27,0.38,0.31,0.28,0.18,,0.23
e_0,,4.72,2.28,2.93,1.65,,0.52,0.51,0.6,0.64,0.59,0.27,,0.32,0.46,0.05
