,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,6.2,1.68,1.29,1.19,1.51,1.45,5.39,6.18,13.35,9.06,3.62,8.48,11.03,7.59,8.33,12.97
f_1,1.37,6.21,2.8,1.35,1.34,1.64,5.53,4.43,5.47,7.15,6.76,2.77,8.75,6.99,5.78,9.12
e_1,1.34,1.69,6.23,1.95,1.53,1.33,5.38,4.69,6.19,6.71,14.62,7.19,10.49,6.7,3.22,8.8
c_1,1.51,1.34,1.34,6.88,3.08,1.31,5.12,5.85,2.82,5.19,7.85,8.85,9.8,6.96,6.97,10.24
b_1,1.51,1.68,1.42,1.37,7.64,3.03,5.33,4.66,6.61,3.56,5.35,7.15,10.18,6.85,6.85,11.41
a_1,1.64,1.56,1.67,1.7,1.06,9.93,6.24,5.64,7.23,9.23,8.3,5.99,14.03,4.95,9.84,10.61
h_1,2.15,2.57,1.57,1.81,1.53,1.63,16.31,8.79,7.84,8.73,6.68,8.04,7.6,8.96,8.57,19.36
g_1,3.05,1.59,1.55,1.62,1.56,1.69,6.24,19.34,8.94,8.05,6.8,15.13,14.91,8.74,9.84,8.09
c_0,2.1,2.06,1.78,1.28,1.39,1.92,7.39,6.62,16.41,18.86,9.41,10.79,14.77,11.86,9.51,13.82
b_0,1.9,2.12,1.8,2.19,1.17,1.35,7.73,7.68,8.21,16.8,9.52,9.97,15.6,16.69,10.36,12.89
d_0,0.98,1.58,1.89,4.25,1.92,1.43,7.44,6.36,6.25,8.01,16.99,10.33,12.96,9.11,8.97,12.54
f_0,1.98,1.44,1.4,2.4,2.01,1.7,6.78,7.66,8.78,9.46,9.28,19.85,16.19,7.83,21.04,14.61
h_0,2.26,2.2,1.6,2.07,1.71,1.39,5.28,10.21,7.88,9.43,8.7,10.76,8.93,8.84,11.51,17.2
a_0,2.3,2.03,1.54,2.09,1.93,1.01,8.02,7.73,8.41,10.94,9.02,10.73,15.54,23.41,9.11,16.85
e_0,2.14,2.09,0.87,2.31,2.07,1.71,6.71,8.02,8.83,11.31,7.59,9.89,16.87,12.19,24.95,16.28
g_0,2.85,1.61,1.52,2.0,2.16,1.65,7.32,5.07,8.81,8.85,6.85,15.42,12.15,7.77,10.15,9.49
