,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.05,1.93,1.94,1.64,1.61,1.46,0.57,0.46,0.62,0.55,0.72,0.48,0.37,0.42,0.43,0.29
f_1,1.7,1.05,1.88,1.82,1.52,1.53,0.54,0.68,0.52,0.5,0.57,0.51,0.34,0.45,0.41,0.39
e_1,1.76,1.19,1.05,2.06,1.69,1.43,0.74,0.76,0.58,0.54,0.63,0.63,0.46,0.51,0.73,0.45
c_1,2.33,2.02,1.5,1.05,2.21,1.52,0.74,0.74,0.61,0.49,0.34,0.5,0.42,0.53,0.47,0.38
b_1,2.13,2.35,2.03,1.24,1.06,2.48,0.89,0.8,0.78,0.74,0.54,0.58,0.52,0.56,0.53,0.44
a_1,2.72,2.57,2.82,2.57,1.42,1.06,1.09,1.0,0.8,0.98,0.94,0.75,0.7,1.02,0.76,0.58
h_1,4.86,5.01,4.59,4.61,4.55,3.77,1.28,1.92,1.42,1.3,1.29,1.41,1.08,1.25,1.29,1.11
g_1,5.6,6.19,5.03,5.21,5.29,4.32,1.6,1.28,1.66,1.5,1.47,1.6,1.02,1.37,1.29,1.29
c_0,3.66,6.54,5.7,7.14,5.14,4.87,2.13,1.75,1.37,2.02,1.9,1.71,1.34,1.72,1.49,1.27
b_0,4.98,6.42,6.39,7.48,6.46,4.18,2.25,2.29,1.19,1.4,1.94,1.6,1.41,1.7,1.55,1.3
d_0,6.57,5.85,3.97,7.46,8.0,4.89,2.79,2.76,1.81,1.6,1.44,1.84,1.41,1.67,2.01,1.43
f_0,6.73,8.83,6.59,6.63,6.45,6.23,2.56,1.82,1.94,2.01,1.89,1.44,1.5,1.67,2.33,1.04
h_0,7.39,9.06,7.17,8.22,6.93,5.52,3.85,2.76,2.1,2.1,2.25,2.08,1.97,1.88,1.78,1.87
a_0,8.0,8.32,8.27,8.2,7.72,6.82,2.93,3.07,2.07,1.58,2.45,2.49,1.93,1.47,1.88,2.09
e_0,7.73,11.02,9.23,8.84,8.16,6.51,3.02,2.57,2.38,2.34,2.19,1.3,1.66,2.24,1.45,1.7
g_0,9.36,10.32,9.28,9.57,8.07,7.87,2.74,3.9,2.68,2.84,2.75,2.8,1.71,2.2,2.13,2.29
