,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,35.78,0.13,0.07,0.07,0.07,0.07,0.31,0.27,0.37,0.39,0.29,,0.73,0.32,0.42,0.28
e_1,0.07,38.23,0.07,0.08,0.06,0.05,0.29,0.17,0.39,0.75,0.19,0.42,0.66,0.25,0.66,
d_1,0.09,0.06,38.25,0.05,0.07,0.05,0.27,0.43,0.67,,0.43,0.3,0.6,0.34,0.52,0.33
c_1,0.08,0.07,0.08,44.11,0.13,0.05,0.29,0.22,,0.45,0.31,0.49,0.39,,0.68,0.35
b_1,0.07,0.07,0.07,0.09,47.81,0.11,0.31,0.22,0.34,0.3,,0.4,0.68,0.35,0.45,0.45
a_1,0.08,0.06,0.05,0.05,0.06,72.6,0.27,0.25,0.34,0.27,0.4,0.52,0.79,,0.65,
h_1,0.34,0.26,0.24,0.25,0.18,0.26,28.34,1.13,1.74,1.34,2.11,1.11,,1.16,3.53,1.36
g_1,0.18,0.21,0.38,0.33,0.28,0.26,1.09,33.19,1.77,1.39,1.77,1.71,1.93,0.99,,1.38
c_0,0.34,0.28,0.34,,0.3,0.47,1.51,1.5,17.89,2.58,3.02,2.22,3.42,1.72,3.24,1.34
d_0,0.42,0.37,,0.63,0.37,0.47,1.59,1.87,1.4,16.16,2.09,2.02,3.51,1.76,2.81,2.27
b_0,0.34,0.28,0.32,0.36,,0.3,1.57,1.78,1.66,2.16,21.11,1.69,2.18,4.69,3.58,2.21
f_0,,0.38,0.3,0.32,0.41,0.48,1.52,1.1,1.44,2.43,2.64,21.19,3.06,2.2,2.22,4.82
h_0,0.67,0.56,0.49,0.49,0.62,0.36,,3.26,3.41,2.63,3.09,2.97,,4.35,6.38,
a_0,0.27,0.29,0.33,0.34,0.3,,1.25,2.14,2.35,1.66,1.57,2.6,3.85,31.78,2.95,
g_0,0.46,0.41,0.82,0.47,0.44,0.67,2.73,,2.54,3.5,2.6,3.82,4.16,2.96,,4.74
e_0,0.25,,0.44,0.44,0.38,,2.01,,2.46,2.67,1.98,2.42,2.75,2.03,,33.98
