,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.49,1.13,0.99,1.37,0.98,1.01,2.44,2.52,2.27,4.06,2.73,2.44,2.76,3.47,1.85,3.18
f_1,1.66,2.49,1.01,1.19,0.93,1.17,1.91,1.98,2.42,2.39,2.14,1.67,2.78,2.61,2.15,2.74
d_1,1.07,1.27,2.53,0.93,1.19,1.09,2.32,2.06,3.95,1.47,2.84,2.47,2.32,2.95,2.46,2.96
c_1,1.0,0.94,1.24,2.55,1.96,1.06,1.95,1.71,1.07,2.04,1.82,2.63,1.85,2.74,2.79,2.81
b_1,1.13,1.34,1.14,0.86,2.64,1.87,2.06,2.08,2.43,2.34,2.07,2.36,2.34,3.35,2.92,3.03
a_1,1.18,1.05,1.26,1.27,0.89,3.24,2.41,2.65,2.32,2.51,2.69,2.7,1.62,3.33,2.36,3.23
h_1,1.06,1.56,1.31,1.44,1.25,1.11,3.86,2.86,2.49,2.48,2.93,2.39,2.7,2.31,2.57,4.46
g_1,1.01,1.09,1.7,1.55,1.18,0.93,2.36,4.49,2.53,2.5,2.76,4.02,2.75,2.96,3.02,2.39
c_0,1.31,1.41,1.2,1.1,1.13,1.09,2.45,2.82,3.96,2.73,4.36,3.05,3.64,3.86,2.79,3.74
d_0,1.13,1.37,0.87,2.05,1.22,1.26,2.56,2.33,2.1,4.0,2.62,2.67,2.13,3.05,2.44,3.11
b_0,1.08,1.58,1.25,1.53,0.71,0.9,2.26,2.46,2.79,2.66,4.27,2.89,5.52,4.4,2.86,3.5
f_0,1.14,0.98,1.42,1.37,1.42,1.24,2.73,2.15,2.69,2.55,2.91,4.37,2.55,3.82,5.35,3.11
a_0,1.31,1.23,1.28,1.61,1.09,0.86,2.38,2.45,2.39,3.31,2.25,2.82,4.88,3.75,2.65,4.41
h_0,1.25,1.72,1.37,1.2,1.15,0.99,1.93,3.12,2.72,3.01,2.38,2.19,2.61,2.45,2.68,3.97
e_0,0.92,1.36,1.46,1.25,1.39,1.34,2.38,2.53,3.26,2.89,3.04,2.45,2.94,3.88,5.01,3.63
g_0,1.02,1.17,1.76,1.29,1.24,1.11,2.06,2.17,2.74,2.5,2.64,3.92,2.14,3.27,3.69,2.92
