,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,0.9,1.08,0.92,0.82,0.51,0.55,0.46,0.41,0.37,0.47,0.34,0.34,0.35,0.33
f_1,1.3,1.0,0.91,1.03,0.88,0.66,0.4,0.47,0.45,0.4,0.38,0.36,0.3,0.3,0.33,0.23
d_1,1.11,1.1,1.0,0.89,0.88,0.72,0.49,0.49,0.38,0.55,0.47,0.38,0.36,0.33,0.26,0.33
c_1,0.92,1.02,1.1,1.0,1.21,0.77,0.5,0.35,0.39,0.36,0.34,0.37,0.36,0.33,0.34,0.31
b_1,1.05,1.13,1.1,0.83,1.0,1.0,0.59,0.46,0.47,0.48,0.41,0.44,0.37,0.33,0.33,0.36
a_1,1.22,1.44,1.37,1.31,1.0,1.0,0.71,0.6,0.61,0.58,0.66,0.54,0.52,0.56,0.44,0.44
h_1,2.0,2.39,2.06,1.93,1.74,1.36,1.0,0.97,1.0,0.86,0.77,0.77,0.75,0.69,0.85,0.66
d_0,1.84,2.08,2.08,2.88,2.15,1.71,0.99,1.0,1.0,0.76,0.87,0.86,0.89,0.73,0.8,0.7
g_1,2.23,2.21,2.65,2.45,2.16,1.6,0.96,1.01,1.0,0.93,0.86,1.09,0.72,0.74,0.85,0.77
c_0,2.52,2.5,1.83,2.77,2.16,1.73,1.16,1.32,1.09,1.0,1.31,1.0,0.92,0.9,0.79,0.79
b_0,2.68,2.62,2.25,2.95,2.31,1.53,1.29,1.15,1.14,0.77,1.0,0.99,0.99,1.08,0.86,0.79
f_0,2.25,2.71,2.72,2.6,2.36,1.91,1.3,1.16,0.93,0.98,0.96,1.0,0.92,0.79,0.76,1.12
h_0,3.01,3.24,2.78,2.79,2.68,1.99,1.34,1.15,1.36,1.05,1.03,1.08,1.0,0.95,1.02,0.91
a_0,3.21,3.23,3.07,3.24,2.99,1.85,1.47,1.36,1.31,1.13,0.94,1.14,1.13,1.0,1.18,0.91
g_0,2.88,3.15,3.75,2.83,2.91,2.25,1.19,1.27,1.26,1.31,1.18,1.37,1.0,0.84,1.0,0.97
e_0,3.14,4.5,3.07,3.1,2.61,2.07,1.61,1.36,1.38,1.26,1.33,0.9,1.14,1.03,1.03,1.0
