,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,12.83,0.68,0.91,0.49,0.61,0.54,0.77,2.38,0.81,0.81,1.1,1.13,1.15,0.99,0.7,0.98
f_1,1.59,13.11,0.65,0.49,0.54,0.61,0.81,0.97,0.86,0.73,0.94,0.47,0.95,0.96,0.56,0.88
c_1,0.57,0.58,13.22,0.67,1.63,0.63,0.93,0.77,0.45,0.93,0.64,0.87,0.8,0.83,1.03,0.79
d_1,0.53,0.87,0.47,16.2,0.61,0.57,1.05,0.48,2.42,1.14,1.08,1.0,1.06,0.95,0.86,1.0
b_1,0.6,0.6,0.62,0.73,14.67,1.63,1.05,0.91,0.8,0.71,0.52,0.92,0.68,0.89,0.88,1.03
a_1,0.55,0.69,0.68,0.81,0.62,23.76,0.98,0.71,1.07,0.97,1.01,1.06,0.53,1.36,1.25,1.13
h_1,0.65,1.02,0.6,1.12,0.61,0.73,3.59,0.74,1.05,1.65,1.05,0.95,0.99,0.71,1.2,1.69
d_0,0.71,0.74,2.27,0.4,0.77,0.63,0.96,2.21,0.69,1.02,1.18,1.07,1.18,1.24,1.25,0.91
c_0,0.68,0.77,0.58,0.96,0.56,0.72,1.19,1.06,2.47,1.3,3.42,1.43,1.56,1.21,1.39,1.43
g_1,0.56,0.71,0.7,1.75,0.59,0.6,1.03,0.75,1.18,4.71,1.18,2.05,1.01,1.27,1.34,0.68
b_0,0.68,0.77,0.77,1.08,0.45,0.82,1.21,0.98,1.06,1.4,2.47,1.18,2.93,1.1,1.29,1.17
f_0,0.61,0.49,0.8,0.96,0.74,0.7,1.2,1.23,1.31,1.04,1.64,3.37,1.28,1.19,3.92,1.07
a_0,0.82,0.93,1.0,0.73,0.64,0.37,1.15,1.31,1.06,1.33,1.24,1.16,3.36,1.21,1.24,1.18
h_0,0.65,1.4,0.81,0.86,0.56,0.82,0.68,0.95,0.89,1.65,1.25,1.23,1.0,0.82,1.22,1.51
e_0,0.34,0.68,1.26,0.98,0.94,0.82,1.09,1.09,0.75,1.11,1.18,1.22,1.05,1.57,4.12,1.2
g_0,0.66,0.57,0.7,1.79,0.7,0.84,1.17,0.89,1.21,0.71,1.27,1.87,1.08,1.12,1.22,0.76
