,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.44,19.48,38.57,42.35,30.8,27.52,7.72,14.95,6.92,6.68,6.79,6.15,3.88,,7.69,8.62
f_1,50.88,0.44,33.95,29.16,31.24,40.02,5.64,12.65,6.83,6.41,,7.12,4.02,7.3,4.02,5.24
d_1,37.32,39.75,0.43,32.58,30.84,39.52,9.71,5.24,,7.86,6.24,8.15,5.67,8.01,2.93,7.08
c_1,34.35,38.51,38.73,0.43,32.63,44.13,10.37,9.03,3.19,,7.03,8.14,3.96,6.55,5.39,8.4
b_1,28.09,37.61,36.67,23.91,0.41,37.39,11.87,11.28,6.04,8.3,5.3,,6.53,7.18,5.8,
a_1,59.79,54.99,56.77,38.54,30.86,0.33,10.64,13.6,9.67,10.43,9.99,7.93,6.86,,4.04,
h_1,16.93,13.92,21.82,23.46,21.04,14.8,0.37,3.69,3.64,4.32,5.66,3.58,,3.09,1.95,3.49
g_1,27.3,25.43,27.16,20.33,20.42,23.02,4.77,0.34,3.29,4.76,3.35,4.46,1.7,2.88,,3.64
d_0,8.77,16.32,,12.01,17.94,16.38,4.38,4.58,0.52,2.84,2.8,3.29,2.77,,2.03,2.79
c_0,14.0,13.98,8.18,,15.36,14.0,4.3,6.25,3.89,0.51,3.47,3.97,2.06,3.09,1.93,3.39
f_0,18.27,,16.26,16.23,17.25,18.53,5.26,3.79,3.2,2.58,0.45,2.44,2.47,4.65,1.57,4.03
b_0,17.65,16.11,14.79,18.59,,14.49,4.36,3.66,4.35,1.54,5.9,0.46,2.38,3.44,4.97,3.89
h_0,14.6,10.34,13.86,13.03,10.18,19.18,,3.35,2.17,2.63,3.12,2.14,,2.15,1.93,1.92
e_0,,22.82,18.39,21.1,18.93,,6.41,5.26,,4.32,1.91,4.09,3.18,0.36,3.06,3.53
g_0,12.67,26.21,11.68,15.12,21.54,11.25,2.92,,2.88,2.68,3.43,3.2,1.16,3.39,,
a_0,28.67,19.04,20.42,19.41,,,7.62,5.4,4.57,3.57,3.78,2.31,2.9,3.96,,0.39
