,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.42,0.92,1.12,0.76,0.87,0.78,0.26,0.29,0.12,0.23,0.21,0.19,0.13,0.2,0.18,0.13
f_1,0.94,0.41,0.88,0.94,0.93,0.76,0.2,0.29,0.2,0.19,0.24,0.17,0.1,0.16,0.16,0.15
d_1,1.02,0.91,0.41,1.08,0.95,0.96,0.24,0.17,0.28,0.18,0.16,0.16,0.12,0.17,0.15,0.09
e_1,1.02,0.62,1.03,0.4,1.01,0.99,0.29,0.32,0.21,0.21,0.25,0.19,0.15,0.32,0.19,0.16
b_1,0.6,1.12,1.11,1.01,0.39,1.0,0.34,0.3,0.21,0.29,0.21,0.32,0.16,0.21,0.21,0.15
a_1,1.21,1.47,1.43,1.39,0.64,0.32,0.36,0.42,0.29,0.32,0.24,0.35,0.19,0.24,0.43,0.23
h_1,1.74,1.77,1.54,1.79,1.72,1.63,0.29,0.42,0.39,0.32,0.32,0.32,0.28,0.28,0.27,0.26
g_1,2.07,1.98,1.77,1.87,1.94,1.68,0.41,0.27,0.45,0.38,0.37,0.37,0.21,0.33,0.32,0.31
d_0,2.16,1.91,2.6,1.21,2.11,1.82,0.62,0.59,0.3,0.4,0.49,0.39,0.3,0.5,0.43,0.33
c_0,3.59,2.07,1.22,2.28,2.05,1.92,0.58,0.54,0.66,0.28,0.4,0.4,0.29,0.43,0.41,0.25
f_0,2.12,3.48,2.12,2.13,2.05,1.84,0.57,0.39,0.5,0.45,0.28,0.45,0.29,0.43,0.48,0.21
b_0,3.46,2.13,1.64,2.36,2.68,2.11,0.58,0.58,0.55,0.27,0.44,0.29,0.3,0.43,0.41,0.27
h_0,2.42,2.74,2.32,2.44,2.39,2.35,0.86,0.75,0.61,0.51,0.51,0.47,0.46,0.46,0.44,0.33
e_0,2.53,3.99,2.21,3.37,2.55,1.88,0.74,0.57,0.59,0.49,0.27,0.51,0.35,0.26,0.5,0.29
a_0,2.91,2.6,2.55,2.52,2.93,2.95,0.67,0.76,0.56,0.44,0.44,0.28,0.34,0.48,0.27,0.37
g_0,2.85,3.11,2.48,2.54,2.66,2.67,0.59,0.86,0.58,0.53,0.5,0.46,0.3,0.51,0.46,0.38
