,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.87,0.63,0.54,0.71,0.67,0.52,0.84,0.79,1.68,1.01,1.04,1.04,0.98,0.48,0.99,0.94
f_1,1.16,2.94,0.6,0.51,0.57,0.41,0.96,0.72,0.73,0.88,0.37,0.98,1.02,0.77,0.74,0.92
d_1,0.57,0.76,3.07,0.47,0.55,0.54,0.96,0.91,0.44,1.71,0.97,1.24,0.89,1.04,1.25,1.07
c_1,0.45,0.61,0.54,3.06,1.04,0.65,0.82,0.82,0.98,0.24,1.0,0.67,0.96,0.99,0.87,0.89
b_1,0.57,0.64,0.68,0.62,3.32,1.11,0.73,0.85,0.9,0.78,0.69,0.32,1.08,0.9,0.76,0.66
a_1,0.57,0.62,0.65,0.61,0.58,4.84,1.03,0.99,0.87,0.97,1.15,0.97,0.83,0.86,1.06,0.58
h_1,0.75,0.95,0.83,0.77,0.64,0.7,3.06,1.3,0.93,1.16,0.99,1.12,0.62,0.95,1.63,1.05
g_1,0.59,0.5,1.2,0.9,0.7,0.57,1.1,3.59,0.91,1.04,1.88,1.28,1.25,1.27,0.69,1.05
d_0,0.7,0.74,0.28,1.63,0.71,0.75,1.08,1.22,2.3,0.88,1.25,0.86,1.19,1.01,1.04,1.08
c_0,0.82,0.76,0.94,0.49,0.58,0.58,1.27,1.28,1.11,2.35,1.49,2.38,1.34,1.28,1.21,1.54
f_0,0.59,0.41,0.9,0.95,0.72,0.78,1.07,1.09,1.19,1.13,2.76,1.17,1.02,2.91,1.23,1.23
b_0,0.79,0.73,0.83,0.84,0.38,0.78,1.11,1.18,1.07,1.19,1.34,2.75,1.42,1.28,1.47,2.57
h_0,0.78,1.07,0.76,0.81,0.66,0.61,0.59,1.62,1.07,0.97,1.18,1.02,0.78,1.11,1.63,1.18
e_0,0.39,0.78,0.81,0.98,0.66,0.87,1.33,1.27,1.3,1.24,1.04,1.0,1.35,4.02,1.03,1.23
g_0,0.6,0.69,1.23,0.8,0.64,0.78,1.14,0.89,0.93,1.08,1.96,1.2,1.02,1.25,0.85,1.0
a_0,0.69,0.87,0.94,0.89,0.46,0.46,1.29,1.47,0.98,1.16,1.13,1.41,1.42,1.49,1.16,3.48
