,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.24,1.1,0.55,0.53,0.36,0.41,1.01,0.86,1.09,1.03,1.08,0.43,1.33,0.92,1.19,0.55
e_1,0.65,2.31,0.7,0.49,0.52,0.39,1.04,0.82,2.17,1.24,1.11,1.09,1.55,1.05,1.19,0.59
c_1,0.56,0.54,2.37,0.51,1.05,0.37,0.99,0.91,1.16,0.45,0.7,1.02,1.53,0.78,1.16,0.93
d_1,0.7,0.55,0.45,2.44,0.44,0.44,1.09,1.01,0.53,2.17,1.35,1.35,1.42,1.1,1.64,0.98
b_1,0.63,0.45,0.65,0.54,2.62,0.82,1.06,0.94,1.21,1.01,0.47,1.01,1.66,0.58,1.39,0.78
a_1,0.76,0.57,0.61,0.5,0.52,3.14,1.0,0.94,1.25,1.13,0.93,0.85,1.72,0.4,1.13,0.6
h_1,1.09,0.7,0.58,0.78,0.51,0.49,3.06,1.33,1.27,1.32,1.45,0.97,1.18,1.12,2.12,0.86
g_1,0.66,0.58,0.65,1.16,0.53,0.46,1.14,3.32,1.34,1.42,1.49,1.9,1.88,1.34,1.07,1.36
d_0,0.74,0.62,1.4,0.44,0.65,0.34,1.32,1.2,2.65,0.95,1.34,1.47,2.02,1.35,1.5,1.23
c_0,0.82,0.72,0.5,0.82,0.37,0.57,1.08,1.28,1.72,2.74,3.01,1.42,2.3,1.56,2.04,1.28
b_0,0.8,0.73,0.65,0.91,0.29,0.47,1.25,1.37,1.3,1.47,3.01,1.37,2.05,2.56,1.69,1.3
f_0,0.55,0.55,0.78,0.88,0.6,0.37,1.28,1.36,1.61,1.73,1.68,3.16,2.34,1.5,1.95,2.74
h_0,1.0,0.64,0.74,0.84,0.6,0.43,0.81,1.59,1.33,1.28,1.47,1.12,1.23,1.26,1.98,1.19
a_0,0.77,0.76,0.82,0.81,0.54,0.3,1.29,1.34,1.26,1.09,1.69,1.66,1.77,3.26,1.6,1.4
g_0,0.69,0.63,0.61,1.21,0.51,0.42,1.19,0.92,1.08,1.37,1.68,2.21,1.84,1.27,1.01,1.34
e_0,0.77,0.3,0.79,0.72,0.86,0.54,1.18,1.08,1.53,1.39,1.76,1.6,2.26,1.1,1.75,3.58
