,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.25,0.94,1.01,1.0,0.86,0.86,0.96,0.9,1.05,0.9,0.95,0.91,1.06,1.0,0.79
e_1,0.8,1.0,0.95,1.21,1.02,1.02,1.09,1.01,0.96,1.34,1.08,1.18,1.02,1.07,1.1,1.17
d_1,1.07,1.03,1.0,0.86,0.96,1.01,0.93,0.9,1.28,1.01,1.09,0.99,1.02,0.92,0.88,0.96
c_1,1.0,0.83,1.12,1.0,1.28,0.93,1.01,0.97,0.92,0.71,0.81,0.97,0.98,0.87,1.02,0.99
b_1,1.02,0.98,1.05,0.8,1.0,1.32,1.16,1.07,1.11,0.99,0.96,0.98,1.11,0.92,1.02,1.02
a_1,1.18,0.99,0.99,1.05,0.76,1.0,1.1,1.09,0.91,1.06,1.17,0.95,1.02,1.07,1.0,1.1
h_1,1.12,0.91,1.06,0.99,0.85,0.87,1.0,1.15,0.94,0.93,1.04,0.94,0.98,1.0,1.1,1.0
g_1,1.03,0.97,1.14,0.99,0.95,0.92,0.85,1.0,1.0,0.82,0.97,1.12,0.86,0.92,0.95,0.92
c_0,1.09,1.0,0.81,1.13,0.95,1.06,1.05,0.99,1.0,1.16,1.33,1.04,1.09,1.14,1.11,1.02
d_0,0.96,0.77,1.0,1.38,1.07,0.93,1.01,1.15,0.79,1.0,1.03,0.95,1.01,0.97,1.08,1.14
b_0,1.1,0.94,0.9,1.17,1.06,0.85,1.01,1.02,0.78,0.97,1.0,1.03,1.07,1.39,1.03,1.06
f_0,1.09,0.9,1.02,1.02,0.98,0.98,1.1,0.9,0.98,1.0,0.95,1.0,0.99,1.01,0.88,1.3
h_0,1.11,1.02,0.97,0.99,0.88,0.95,1.02,1.13,0.9,1.01,0.93,1.0,1.0,1.0,1.13,0.85
a_0,1.01,0.9,1.07,1.11,1.05,0.92,1.03,1.1,0.91,1.01,0.78,0.96,0.98,1.0,1.05,0.97
g_0,1.01,0.92,1.17,0.97,0.96,0.97,0.93,1.06,0.93,0.92,0.98,1.14,0.87,0.99,1.0,1.12
e_0,1.2,0.91,1.01,1.01,0.96,0.89,0.99,1.04,0.99,0.82,0.98,0.78,1.19,1.05,0.92,1.0
