,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.52,0.98,0.94,1.2,0.95,0.79,1.18,1.21,1.18,1.7,1.14,1.16,1.06,1.29,0.88,1.17
f_1,1.48,1.55,0.94,1.04,0.86,0.79,1.08,1.0,1.08,1.26,0.84,1.07,0.99,1.1,0.77,1.05
d_1,1.04,1.09,1.56,0.83,0.93,0.89,1.25,1.07,1.74,0.96,1.18,1.35,1.05,1.19,1.11,1.18
c_1,0.91,0.99,1.11,1.6,1.49,0.87,1.24,1.11,0.84,0.98,1.12,0.84,1.02,1.23,1.08,1.1
b_1,1.03,1.11,1.06,0.9,1.64,1.4,1.19,1.17,1.22,1.07,1.22,0.91,0.87,1.32,0.98,1.19
a_1,1.23,1.17,1.13,1.05,0.83,1.76,1.41,1.34,1.3,1.45,1.26,1.39,1.01,1.58,1.29,1.37
h_1,1.24,1.54,1.23,1.21,1.16,0.99,1.86,1.66,1.31,1.34,1.27,1.44,1.2,1.39,1.21,1.64
g_1,1.24,1.3,1.63,1.24,1.23,0.93,1.3,1.89,1.45,1.28,1.75,1.25,1.2,1.54,1.28,1.35
c_0,1.37,1.46,1.28,1.27,1.09,1.07,1.61,1.48,1.85,1.6,1.5,2.32,1.6,1.72,1.51,1.66
d_0,1.16,1.39,1.19,1.9,1.36,0.92,1.5,1.46,1.24,1.81,1.32,1.33,1.36,1.73,1.42,1.46
f_0,1.21,1.34,1.4,1.41,1.17,1.08,1.55,1.31,1.62,1.74,1.94,1.56,1.49,1.6,2.23,1.6
b_0,1.36,1.58,1.32,1.52,1.14,0.88,1.54,1.52,1.36,1.67,1.54,1.9,2.19,1.76,1.32,1.75
a_0,1.41,1.53,1.42,1.36,1.34,0.98,1.77,1.64,1.52,1.54,1.6,1.31,1.99,1.76,1.16,1.64
h_0,1.45,1.8,1.47,1.29,1.19,1.07,1.36,1.71,1.52,1.46,1.45,1.36,1.37,1.55,1.2,1.89
e_0,1.39,1.71,1.4,1.3,1.42,0.98,1.73,1.47,1.63,1.6,1.46,1.71,1.64,1.73,1.95,1.61
g_0,1.41,1.35,1.84,1.4,1.24,1.02,1.48,1.34,1.6,1.48,2.06,1.58,1.52,1.56,1.57,1.51
