,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.01,2.01,0.64,0.75,0.55,0.53,0.89,0.82,0.72,0.99,0.94,0.56,0.86,0.9,0.7,0.86
e_1,0.67,10.47,0.59,1.08,0.65,0.66,0.84,0.91,0.77,2.44,1.08,0.98,1.09,0.96,0.72,0.99
d_1,0.69,0.54,14.87,0.5,0.62,0.63,1.13,1.16,2.66,0.52,1.23,1.11,1.03,1.16,1.06,1.3
c_1,0.68,0.53,0.73,11.51,2.12,0.74,0.78,0.88,0.54,0.79,0.52,0.92,0.84,0.94,0.88,0.82
b_1,0.64,0.59,0.65,0.66,12.96,2.21,0.95,0.87,0.83,0.86,0.63,0.92,0.9,0.74,0.99,0.77
a_1,0.92,0.63,0.79,0.81,0.64,16.64,1.09,0.92,0.99,1.03,1.07,1.11,1.11,0.63,1.14,0.75
h_1,1.49,0.78,0.93,0.61,0.7,0.73,3.28,1.22,0.99,0.77,0.96,1.0,0.81,0.87,1.02,1.58
g_1,0.76,0.57,1.7,0.68,0.79,0.65,1.05,3.91,1.19,0.6,1.39,2.1,1.29,1.14,1.2,0.91
c_0,0.85,0.83,0.93,0.56,0.54,0.63,1.17,1.05,2.47,1.12,3.39,1.18,1.24,1.42,1.29,1.41
d_0,0.8,0.74,0.5,2.25,0.79,0.67,0.91,1.01,0.51,1.81,0.96,0.97,1.27,1.06,1.12,1.02
b_0,0.9,0.64,0.88,0.8,0.65,0.61,1.14,0.97,1.25,0.86,2.67,1.04,1.41,3.1,1.36,1.25
f_0,0.77,0.58,0.96,0.78,0.61,0.92,1.3,1.11,1.39,0.93,1.47,3.32,1.33,1.22,3.5,1.46
h_0,1.26,0.82,0.94,0.86,0.65,0.54,0.74,1.38,1.03,0.99,1.03,1.14,0.73,1.13,1.32,1.64
a_0,0.93,0.73,0.7,0.84,0.83,0.59,1.19,0.94,0.98,1.04,1.19,1.2,1.24,2.62,1.29,1.45
e_0,1.25,0.59,0.95,0.77,0.54,0.79,1.36,1.21,1.28,0.99,1.24,1.19,1.33,1.41,3.0,1.17
g_0,0.5,0.59,1.75,0.79,0.74,0.83,0.93,1.01,1.27,0.68,1.24,2.21,1.21,0.95,1.42,0.99
