,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.68,3.47,4.8,5.54,6.86,6.9,2.23,2.08,1.76,1.52,2.7,2.65,1.78,2.45,,1.82
f_1,6.09,0.68,5.56,5.47,4.96,5.14,1.74,2.37,1.62,1.79,2.41,,1.34,2.2,1.52,1.92
c_1,6.11,5.48,0.66,12.17,6.51,5.97,2.58,1.2,,1.82,2.74,2.11,1.35,1.77,2.52,1.46
d_1,6.75,6.63,4.44,0.64,5.11,6.85,2.57,,2.02,2.39,1.77,2.49,1.54,1.78,2.11,1.34
b_1,4.95,6.72,3.82,6.11,0.63,8.55,3.21,2.77,2.3,,2.53,2.8,2.36,1.98,1.96,1.48
a_1,7.14,7.02,7.48,5.81,4.05,0.57,3.27,3.46,4.07,,2.75,2.31,1.81,,2.33,2.16
h_1,5.6,6.3,4.29,4.51,4.28,4.56,0.61,1.92,1.73,1.65,1.85,1.99,,1.83,1.59,1.41
d_0,3.23,4.66,6.21,,3.49,3.34,2.05,0.71,1.78,1.7,2.09,1.28,1.4,1.43,,1.51
c_0,6.53,5.55,,3.8,5.59,3.62,2.47,1.67,0.69,1.84,1.88,1.48,1.21,1.83,1.36,1.12
b_0,5.48,6.78,8.38,3.98,,,2.66,1.87,1.46,0.65,1.88,1.51,1.36,1.8,,1.82
g_1,6.44,6.68,6.0,6.6,8.09,5.81,2.55,2.06,2.42,2.25,0.54,1.93,1.38,,1.75,
f_0,5.07,,5.96,4.92,4.92,4.73,2.04,2.57,2.08,2.26,1.91,0.64,1.86,1.63,1.82,1.04
h_0,4.45,5.43,5.13,4.31,4.82,3.43,,1.76,1.63,1.72,2.19,1.31,,1.8,1.25,1.25
a_0,5.02,5.07,8.45,6.46,6.83,,2.81,2.41,1.88,1.51,,2.01,1.63,0.61,1.95,1.7
e_0,,6.77,4.53,5.09,7.07,4.97,2.49,,2.33,,2.63,1.45,1.96,2.0,0.6,1.75
g_0,6.33,4.89,4.87,4.87,5.09,5.75,1.82,1.66,2.09,1.64,,2.11,1.29,1.73,2.03,
