,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.12,4.39,5.75,3.8,4.7,3.57,1.34,1.46,0.5,1.48,0.96,0.93,0.71,0.9,0.82,0.62
f_1,4.59,1.12,4.08,4.44,4.39,4.03,0.93,1.54,1.01,0.88,1.73,0.78,0.49,0.78,0.81,0.8
d_1,5.61,4.06,1.11,5.64,5.06,5.25,1.24,0.79,2.06,0.81,0.74,0.86,0.64,0.91,0.73,0.41
e_1,4.92,2.77,5.79,1.12,4.84,5.64,1.53,1.56,1.0,1.08,1.2,0.97,0.77,3.1,1.08,0.82
b_1,2.69,6.54,5.61,4.93,1.13,5.72,1.92,1.74,1.26,1.52,1.08,2.51,0.82,0.99,1.28,0.79
a_1,10.65,11.37,8.84,8.55,3.67,1.14,2.03,2.97,1.88,1.88,1.5,2.33,1.23,1.99,3.32,1.47
h_1,14.81,13.92,12.89,17.46,14.62,14.46,1.76,3.95,3.81,2.89,2.95,2.88,3.14,2.32,2.61,2.48
g_1,18.32,18.95,16.39,18.03,21.01,15.87,3.56,1.74,3.99,3.24,4.16,3.5,1.81,3.37,3.47,3.69
d_0,20.24,19.37,34.8,9.76,20.87,16.83,6.22,5.47,2.27,3.85,5.48,3.65,2.67,5.18,4.66,3.13
c_0,47.68,20.64,10.08,22.14,22.41,19.92,5.88,5.92,6.53,2.24,4.26,4.23,3.16,5.56,4.78,2.69
f_0,22.03,46.85,21.78,21.7,23.46,19.92,7.04,4.06,5.16,4.67,2.29,5.41,3.6,5.82,5.94,2.33
b_0,34.81,23.75,16.88,24.62,43.86,26.03,6.55,6.5,5.2,2.55,4.37,2.36,3.38,4.78,5.33,3.24
h_0,28.77,34.33,31.26,29.46,29.96,30.03,13.52,9.5,7.32,6.73,7.36,5.53,7.13,6.3,5.94,4.18
e_0,31.36,61.91,27.67,61.09,36.02,24.4,9.36,6.62,7.01,5.83,3.31,5.77,4.84,2.42,6.03,4.34
a_0,38.25,31.81,31.55,36.66,38.3,54.22,8.61,10.46,7.09,6.18,6.24,3.5,4.51,6.52,2.61,5.03
g_0,38.25,42.28,33.76,32.66,36.46,33.66,8.19,13.88,7.74,6.73,7.46,6.56,3.77,7.0,7.08,7.08
