,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.31,0.94,0.96,0.98,0.89,0.8,0.95,0.89,0.79,0.96,0.93,0.81,1.06,1.15,0.96
e_1,0.76,1.0,0.93,1.26,1.05,0.9,1.18,1.3,1.15,1.02,0.99,1.09,0.99,1.02,1.14,1.16
d_1,1.07,1.08,1.0,0.83,0.96,1.01,0.99,1.11,0.76,1.3,1.05,0.98,1.07,0.92,0.83,0.97
c_1,1.04,0.8,1.19,1.0,1.29,0.98,0.91,0.69,1.12,0.74,0.87,1.04,1.11,1.05,0.86,1.04
b_1,1.02,0.95,1.05,0.79,1.0,1.47,1.06,1.01,1.14,1.15,0.96,0.94,0.94,0.84,1.08,1.06
a_1,1.13,1.1,0.99,1.02,0.68,1.0,1.21,1.1,1.06,1.05,1.26,1.05,1.18,1.09,0.9,0.97
h_1,1.28,0.88,0.98,1.07,0.99,0.82,1.0,0.96,1.22,0.97,0.85,0.83,0.99,0.9,1.25,0.8
d_0,1.0,0.71,0.99,1.52,0.96,0.91,1.05,1.0,1.08,0.92,0.92,1.04,1.15,0.91,1.15,1.09
g_1,1.2,0.91,1.27,0.93,0.89,0.94,0.86,0.99,1.0,1.0,0.98,1.21,0.8,0.83,0.99,0.92
c_0,1.25,1.0,0.76,1.25,0.8,0.93,1.03,1.11,0.94,1.0,1.43,0.93,1.05,1.2,1.13,1.03
b_0,1.07,1.0,0.96,1.11,1.07,0.7,1.21,1.12,0.98,0.72,1.0,1.0,1.01,1.41,1.03,0.89
f_0,1.05,0.9,1.02,0.98,1.07,0.96,1.23,1.01,0.83,0.98,1.05,1.0,1.12,0.95,0.78,1.44
h_0,1.16,0.99,0.98,0.92,1.07,0.93,1.02,0.89,1.26,0.91,1.01,0.91,1.0,0.89,1.15,0.81
a_0,1.01,0.99,1.02,0.97,1.11,0.89,1.08,1.11,1.11,0.85,0.72,1.03,1.16,1.0,0.94,1.01
g_0,0.91,0.87,1.18,1.18,0.98,1.08,0.8,0.87,1.0,0.89,1.01,1.25,0.87,0.98,1.0,1.04
e_0,1.05,0.97,1.01,0.98,0.95,1.04,1.24,0.94,1.07,0.95,1.02,0.72,1.23,1.09,0.96,1.0
