,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,104.89,54.98,45.31,49.25,54.8,198.73,3878.08,11687.49,12923.62,13270.71,8952.69,20198.99,44322.44,71657.96,50569.18,136722.81
e_1,27.32,105.06,36.92,56.48,77.08,250.93,4524.87,20338.29,11210.08,15159.48,22668.81,21818.39,58860.48,81820.12,22861.22,109512.49
d_1,29.1,39.16,132.81,39.42,47.12,236.66,3742.07,5724.23,8236.14,22053.31,19708.53,20566.2,47030.91,58042.09,61655.16,97658.83
c_1,30.59,22.8,36.74,145.63,97.4,192.14,4110.81,10317.98,8157.63,4823.38,17406.94,16169.91,53298.82,64688.16,59867.51,123465.37
b_1,31.68,21.49,40.06,33.23,185.06,305.9,3467.43,9219.91,9078.53,10140.16,20628.55,6491.32,48790.31,56701.25,55259.33,89414.6
a_1,20.2,15.8,21.69,27.88,30.66,529.45,2703.59,7282.88,5419.4,7650.32,10334.34,13929.65,,32204.24,31964.05,57146.86
h_1,13.79,10.19,15.43,16.14,20.29,56.73,2800.4,3523.04,4028.85,4259.22,6294.28,6324.49,17451.81,13661.32,17397.31,45765.74
d_0,8.95,6.37,5.97,21.75,15.64,42.7,1182.49,4713.7,2683.54,3163.52,5334.49,4970.07,14958.11,20449.58,15765.08,32370.08
g_1,5.8,7.6,16.47,11.14,14.44,60.44,1015.45,2652.39,5908.02,2683.41,5387.03,5833.59,12353.47,17839.4,15524.58,18469.14
c_0,10.22,6.58,8.54,6.71,15.1,50.14,1244.29,2572.43,3477.87,5490.84,5426.9,8139.08,19636.31,19316.6,14296.03,27977.64
f_0,5.16,6.07,9.87,12.12,11.51,43.18,1078.58,2675.81,2434.48,2829.78,7451.39,5002.37,14344.71,18281.56,24573.98,22080.0
b_0,8.06,6.03,10.99,10.82,9.64,26.53,988.97,2197.58,2027.46,2652.69,4354.43,7682.82,23659.4,17274.35,13553.71,25213.37
a_0,6.09,5.24,7.37,6.66,8.9,,738.73,1487.54,1732.68,1608.26,3201.28,2284.7,16666.7,9777.38,10149.51,18214.64
h_0,5.54,4.08,7.69,7.82,8.06,30.18,374.46,1582.03,1817.48,1858.64,2852.65,2783.41,8725.74,6154.92,9390.42,19455.99
e_0,4.77,3.86,6.02,8.31,10.83,37.64,661.09,1481.04,1680.54,1890.28,2700.62,2954.46,9065.06,10733.67,18235.4,14152.81
g_0,3.53,3.78,8.59,6.14,6.77,25.55,491.45,1233.06,907.78,1546.55,3753.79,2221.23,7329.9,8215.35,9426.01,
