,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.07,10.13,7.59,7.57,7.78,8.71,3.71,3.61,2.26,,3.14,2.29,1.8,2.34,1.23,2.3
f_1,9.44,1.07,10.49,8.32,9.64,6.69,3.04,3.14,4.22,2.9,2.54,,1.62,2.53,1.66,2.08
e_1,11.78,6.11,1.07,8.81,9.47,9.55,3.33,3.01,3.3,2.7,2.62,3.56,1.94,2.98,2.46,
c_1,12.28,12.81,11.44,1.07,13.26,9.37,2.89,,3.21,2.02,2.65,2.64,3.04,3.52,2.18,3.83
b_1,11.92,11.12,10.92,6.44,1.07,,5.15,3.75,4.25,2.82,,3.95,3.09,2.55,2.81,2.24
a_1,14.19,14.89,13.29,14.1,,1.07,6.3,4.98,5.17,4.59,4.91,4.99,3.71,,3.76,
h_1,11.41,13.78,15.82,19.45,11.88,12.73,1.41,3.93,5.26,4.16,3.85,4.18,,3.0,3.67,2.54
c_0,8.19,14.91,15.06,,12.12,11.26,4.93,1.73,5.09,4.62,5.08,3.4,4.02,4.24,3.07,3.88
g_1,19.6,16.06,21.52,16.19,17.42,13.59,4.55,5.4,1.41,3.98,4.32,4.35,3.65,4.92,,3.11
d_0,,12.57,10.13,16.04,15.24,14.15,5.3,3.89,8.95,1.7,6.62,3.34,3.16,3.94,2.88,3.38
b_0,15.81,15.15,17.13,20.04,,10.42,6.5,3.01,5.63,3.79,1.74,5.7,3.63,7.43,3.63,3.84
f_0,19.52,,14.52,23.28,12.98,13.76,6.87,5.35,4.18,5.96,4.3,1.76,3.61,4.43,2.98,5.71
h_0,17.08,17.01,16.47,12.47,12.93,13.62,,4.58,5.27,4.68,4.4,5.49,,3.31,3.78,4.23
a_0,22.0,24.93,23.97,22.08,24.4,,7.67,5.32,6.97,9.2,3.27,7.27,4.37,1.75,6.02,5.38
g_0,25.22,27.71,20.31,16.68,16.51,14.04,5.13,4.92,,7.8,4.89,4.75,2.81,3.42,,5.78
e_0,22.75,24.04,,16.62,29.93,,11.29,7.1,9.24,8.74,6.59,3.21,4.92,5.12,4.12,1.82
