,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.79,0.98,1.19,1.04,0.96,1.05,1.32,1.05,0.9,1.14,1.07,1.1,1.07,0.95,1.12
f_1,1.27,1.0,0.89,1.02,0.89,0.81,0.86,1.12,1.05,0.98,1.02,0.98,0.91,0.83,1.06,1.06
d_1,1.03,1.13,1.0,0.89,0.95,0.92,0.98,0.97,0.81,1.29,0.94,1.12,0.97,1.01,1.01,0.84
c_1,0.84,1.0,1.09,1.0,1.31,0.99,1.03,0.74,0.95,0.87,0.97,0.78,1.01,0.9,0.89,1.05
b_1,0.94,1.13,1.03,0.78,1.0,1.44,1.01,0.89,1.04,1.12,0.96,0.98,1.06,1.04,0.87,0.98
a_1,1.06,1.2,1.03,1.01,0.72,1.0,1.13,1.1,1.01,0.99,0.99,1.25,1.06,1.17,1.11,1.0
h_1,0.96,1.14,1.02,0.97,0.98,0.87,1.0,0.89,1.25,0.9,0.96,0.94,0.97,0.92,0.93,1.11
d_0,0.76,0.88,1.01,1.32,1.17,0.93,1.13,1.0,1.16,0.79,0.99,0.94,1.0,1.08,1.09,1.13
g_1,0.97,0.94,1.22,1.04,0.99,1.0,0.84,0.84,1.0,0.98,1.11,0.88,0.83,0.98,0.89,0.9
c_0,1.06,1.0,0.8,1.14,0.88,1.08,1.1,1.26,1.03,1.0,1.05,1.42,1.04,1.03,1.17,1.06
f_0,0.86,0.95,1.08,1.05,1.07,1.0,1.06,0.96,0.94,0.97,1.0,0.98,1.01,1.47,1.04,0.85
b_0,0.95,1.0,0.9,1.26,1.03,0.78,1.07,1.03,1.12,0.71,0.97,1.0,1.03,1.05,1.41,1.1
h_0,0.92,1.07,1.04,0.98,0.98,0.94,1.04,1.0,1.24,0.94,1.01,0.99,1.0,0.91,0.99,1.12
e_0,0.9,1.13,1.01,1.05,0.95,0.89,1.09,0.98,1.08,1.03,0.74,0.94,1.1,1.0,1.2,0.99
a_0,1.0,0.96,0.99,1.1,1.16,0.97,1.08,0.96,1.11,0.87,0.94,0.7,1.05,0.83,1.0,0.97
g_0,0.92,0.96,1.17,0.92,1.0,0.97,0.88,0.89,1.08,0.99,1.15,0.96,0.89,1.02,1.03,1.0
