,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,37.85,0.04,0.07,0.07,0.08,0.05,0.28,0.64,0.32,0.33,0.23,0.39,0.7,0.8,,0.28
d_1,0.05,38.72,0.07,0.07,0.05,0.05,0.28,,0.76,0.28,0.42,0.38,0.71,0.49,0.44,0.42
f_1,0.1,0.07,39.12,0.07,0.05,0.09,0.26,0.32,0.38,0.24,0.39,,0.65,0.54,0.41,0.53
c_1,0.08,0.05,0.06,39.94,0.13,0.06,0.42,0.41,,0.22,0.28,0.43,0.48,0.49,0.55,0.36
b_1,0.08,0.08,0.08,0.05,48.38,0.13,0.25,0.34,0.37,0.37,,0.36,0.67,0.41,0.28,0.33
a_1,0.06,0.05,0.08,0.07,,73.5,0.39,0.46,0.45,0.35,0.33,0.41,0.48,0.47,,
h_1,0.29,0.2,0.26,0.27,0.27,0.25,27.85,1.71,1.52,1.76,1.58,1.24,,2.6,1.37,1.4
d_0,0.35,,0.41,0.82,0.33,0.43,1.09,17.34,1.69,1.18,2.11,1.51,3.03,2.75,1.06,2.68
c_0,0.34,0.39,0.43,,0.34,0.42,0.9,1.8,16.27,1.04,4.66,2.47,3.02,3.14,2.11,1.51
g_1,0.16,0.43,0.26,0.24,0.3,,0.92,1.34,1.49,35.7,1.44,2.85,1.74,,1.43,1.45
b_0,0.29,0.35,0.32,0.28,,0.25,2.29,1.36,2.11,1.18,21.33,2.17,2.42,3.11,2.4,4.2
f_0,0.42,0.48,,0.26,0.47,0.33,1.71,2.57,2.2,1.1,1.77,19.04,2.92,2.91,3.47,1.63
h_0,0.72,0.39,0.91,0.43,0.42,0.53,,3.1,3.38,3.58,2.24,3.06,,5.8,2.38,2.59
g_0,0.47,1.28,0.26,0.53,0.62,0.62,2.6,3.15,1.81,,1.82,4.52,3.55,,3.22,2.44
e_0,,0.29,0.26,0.32,0.41,0.46,1.55,1.77,2.47,1.76,1.95,1.63,4.1,3.82,32.2,
a_0,0.26,0.46,0.37,0.37,0.28,,1.69,2.17,2.22,,2.0,1.92,5.47,2.65,,29.43
