,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,104.57,20.43,20.24,18.1,22.23,58.45,1641.66,4175.5,4241.52,4762.18,6977.76,,24279.64,32635.96,27086.01,43360.86
e_1,9.34,105.41,15.69,18.6,19.69,68.5,2620.91,6880.76,4140.05,5433.89,5906.33,11214.5,22001.54,40606.96,,46145.76
d_1,11.13,9.84,138.23,17.24,18.85,71.28,1704.88,,6201.73,5549.7,6667.1,11563.26,21123.76,24772.9,31376.76,35226.83
c_1,12.54,10.56,12.61,142.99,29.68,53.2,2459.73,3167.96,,5495.78,5461.46,11378.57,19378.22,29231.03,31570.56,42211.58
b_1,9.62,8.25,15.89,11.09,161.94,100.31,1972.12,4040.63,4114.12,5666.75,,5934.22,22358.91,26986.03,22919.47,37247.65
a_1,6.49,6.22,7.96,8.12,12.05,413.08,1914.25,2002.03,2360.67,4217.51,4280.54,7058.01,15766.61,,,40962.64
h_1,7.14,4.9,7.97,5.79,9.75,15.85,3666.26,1483.7,1709.6,3304.39,3729.55,3753.06,,11517.76,13041.95,31013.34
d_0,5.38,4.1,,12.43,8.05,21.87,1277.28,4155.53,1345.08,2992.56,3714.75,5287.79,11711.12,10452.33,13345.75,19734.63
c_0,5.53,5.12,6.21,,6.22,29.13,1088.35,1887.21,4460.24,2141.21,5997.43,4364.99,9045.87,12344.11,14125.41,17576.84
g_1,3.86,3.2,7.11,5.59,5.19,16.69,618.26,1154.12,1120.08,7855.86,2112.88,6210.52,8097.68,10282.61,,
b_0,5.07,5.68,5.8,6.93,,21.53,662.59,1300.71,1264.45,2069.3,7663.92,3933.05,5020.23,16848.61,10544.2,11226.19
f_0,,3.52,5.0,5.39,7.71,15.15,719.98,928.56,1228.19,1092.66,3077.51,10432.44,7920.56,7984.31,,13948.0
h_0,4.1,4.75,5.63,5.83,6.04,16.19,,1070.23,1491.69,1705.38,2930.17,3853.17,,7115.66,8229.58,19164.57
a_0,2.63,1.79,2.88,3.45,3.83,,654.6,854.28,1048.44,1474.41,1417.64,3987.18,6528.26,23094.8,,8771.73
e_0,2.64,,3.77,3.8,4.64,,576.64,884.43,1070.56,,1507.2,,6456.54,,25179.31,
g_0,2.17,2.78,6.07,3.95,4.86,10.95,533.6,909.01,1250.27,,2151.52,4533.53,4601.61,9539.88,,
