,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.95,0.82,0.66,0.68,0.5,0.39,0.66,0.46,0.52,0.38,0.36,0.37,0.25,
f_1,1.2,1.0,1.11,0.88,0.7,0.81,0.46,0.6,0.41,0.43,0.43,,0.32,0.26,0.42,0.25
d_1,1.06,0.9,1.0,1.13,0.87,0.84,0.63,0.41,,0.58,0.43,0.3,0.32,0.37,0.28,
c_1,1.22,1.14,0.89,1.0,1.23,0.66,0.5,0.48,0.32,,0.37,0.35,0.4,0.43,0.35,0.37
b_1,1.52,1.43,1.15,0.81,1.0,0.93,0.49,0.44,0.5,0.43,,0.61,0.4,0.41,0.3,0.32
a_1,1.47,1.23,1.19,1.52,1.08,1.0,,0.57,0.72,0.68,0.49,0.42,,0.57,0.36,
h_1,2.0,2.19,1.58,1.99,2.05,,1.0,1.0,0.79,0.88,0.82,0.73,0.57,,0.95,0.7
g_1,2.6,1.66,2.46,2.09,2.27,1.74,1.0,1.0,0.83,0.82,0.7,1.16,0.79,0.51,,0.83
d_0,1.52,2.42,,3.09,2.01,1.39,1.27,1.2,1.0,0.83,0.98,1.06,0.68,0.85,0.76,0.61
c_0,2.18,2.34,1.72,,2.31,1.47,1.13,1.21,1.21,1.0,1.26,1.31,0.78,0.79,0.65,0.58
b_0,1.93,2.34,2.33,2.7,,2.02,1.22,1.44,1.02,0.8,1.0,0.9,1.07,1.07,0.84,0.59
f_0,2.66,,3.31,2.89,1.63,2.37,1.37,0.86,0.94,0.77,1.11,1.0,0.8,1.53,0.54,1.09
a_0,2.8,3.13,3.09,2.51,2.48,,1.77,1.26,1.48,1.28,0.94,1.24,1.0,0.61,0.72,
h_0,2.74,3.87,2.72,2.32,2.46,1.76,,1.94,1.17,1.26,0.93,0.66,1.63,,1.02,0.67
g_0,3.95,2.35,3.62,2.82,3.3,2.8,1.05,,1.31,1.54,1.19,1.87,1.4,0.98,,0.95
e_0,,3.92,,2.72,3.13,,1.43,1.21,1.65,1.73,1.7,0.92,,1.49,1.05,1.0
