,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.55,2.31,1.86,2.88,1.98,2.34,8.58,17.7,8.44,8.68,10.59,10.85,16.3,8.79,11.02,17.22
f_1,3.52,5.96,1.9,2.17,2.27,1.9,7.18,9.97,7.01,9.66,11.49,5.89,15.3,7.7,12.26,13.18
d_1,2.12,2.3,6.71,1.76,1.9,1.85,8.85,6.59,8.9,19.21,13.53,12.09,17.48,13.93,13.69,16.67
c_1,1.77,2.22,2.2,6.86,4.16,2.25,8.03,8.03,7.86,5.03,7.65,10.26,14.6,9.63,9.71,15.35
b_1,2.11,2.08,2.14,2.19,7.42,4.66,8.2,10.13,8.11,8.61,6.6,11.47,17.95,9.9,8.02,15.98
a_1,2.01,2.52,2.51,2.34,2.08,11.32,9.15,10.15,8.49,11.41,10.48,12.11,15.43,10.73,6.51,18.23
h_1,2.31,3.14,2.43,2.45,2.39,2.19,18.37,10.06,11.59,10.55,11.4,9.47,12.59,12.9,10.68,22.63
d_0,2.18,2.45,1.69,4.36,2.42,2.33,9.05,17.49,8.24,8.22,9.99,13.04,16.89,11.63,12.78,17.86
g_1,2.16,2.04,3.96,2.04,2.22,2.27,7.88,9.1,21.8,11.94,12.7,18.83,18.04,13.59,13.99,14.74
c_0,2.69,2.77,2.86,1.85,1.93,2.07,10.07,10.19,10.3,19.28,22.13,13.5,18.72,15.01,17.76,17.64
b_0,2.97,2.71,2.94,2.34,1.3,1.95,9.64,11.83,9.46,12.99,21.82,12.54,20.13,14.96,30.1,16.73
f_0,2.17,2.23,2.97,2.25,2.59,2.46,11.83,11.48,10.32,11.89,12.2,22.08,18.24,27.83,10.11,20.19
h_0,2.34,3.33,2.81,2.39,2.14,2.13,6.66,10.75,12.2,10.96,11.91,13.06,12.04,12.92,14.14,25.12
e_0,1.76,3.39,2.44,2.5,2.13,2.34,11.08,11.73,8.81,12.85,11.47,13.98,19.21,31.54,13.01,19.89
a_0,2.43,2.98,2.92,2.37,1.97,1.08,9.68,11.73,11.08,12.52,13.14,13.19,17.81,15.9,29.39,18.31
g_0,2.1,2.25,3.77,2.69,2.65,2.39,8.99,7.88,7.43,11.84,11.05,18.8,14.88,12.8,11.33,15.47
